,Carduelis_carduelis,Erithacus_rubecula,Fringilla_coelebs,Pyrrhula_murina,Serinus_canaria,Sylvia_atricapilla,Turdus_merula
Acacia_melanoxylon,0,0,1,0,0,3,1
Bellis_perennis,0,0,1,0,0,0,2
Calluna_vulgaris,0,0,0,0,0,1,1
Carex_viridula,0,0,2,0,0,0,0
Carex_vulcani,0,0,1,0,0,0,0
Centaurium_erythraea,0,0,0,0,0,0,1
Cerastium_fontanum,0,0,7,0,3,0,1
Clethra_arborea,1,0,2,0,0,0,2
Conyza_bonariensis,0,0,0,0,1,0,0
Cryptomeria_japonica,0,0,0,0,0,0,1
Duchesnea_indica,0,1,0,0,1,9,15
Epilobium_parviflorum,0,0,1,0,0,0,0
Fragaria_vesca,0,0,0,0,0,4,3
Hedera_azorica,0,0,0,0,0,4,1
Hedychium_gardneranum,0,0,0,0,0,3,1
Holcus_lanatus,0,0,0,0,2,0,0
Hypericum_humifusum,0,0,0,3,0,0,0
Ilex_perado,0,0,0,0,0,0,23
Juncus_effusus,0,0,1,2,0,1,0
Juniperus_brevifolia,0,0,0,0,0,1,28
Laurus_azorica,0,0,0,0,0,0,4
Leycesteria_formosa,0,11,20,7,0,31,18
Lotus_pedunculatus,0,0,2,0,0,0,0
Myrica_faya,0,0,0,0,0,5,3
Myrsine_africana,0,0,0,0,0,2,1
Persicaria_capitata,0,0,1,0,0,0,0
Pittosporum_undulatum,0,0,2,0,0,5,2
Potentilla_erecta,0,0,3,1,0,2,3
Rubus_ulmifolius,0,0,0,0,0,7,5
unidentified_seed_1,0,0,0,0,0,3,0
unidentified_seed_2,0,0,0,0,0,0,2
unidentified_seed_3,0,0,0,0,0,0,1
unidentified_seed_4,0,0,1,0,0,0,0
unidentified_seed_5,0,0,1,0,0,0,0
unidentified_seed_6,0,0,1,0,0,0,0
unidentified_seed_7,0,0,0,0,1,0,0
unidentified_seed_8,0,0,0,1,0,0,0
Solanum_nigrum,0,1,5,0,0,2,0
Sonchus_tenerrimus,1,0,0,0,0,0,0
Vaccinium_cylindraceum,0,2,0,0,0,6,16
Viburnum_tinus,0,0,0,0,0,0,1
