,Camarhynchus_pallidus,Camarhynchus_parvulus,Camarhynchus_psittacula,Certhidea_fusca,Certhidea_olivacea,Chelonoidis_nigra,Conolophus_subcristatus,Crotophaga_ani,Dendroica_petechia,Geospiza_fortis,Geospiza_fuliginosa,Geospiza_magnirostris,Geospiza_scandens,Microlophus_bivattatus,Microlophus_pacificus,Microluphus_albemarlensis,Mimus_melanotis,Mimus_parvulus,Myiarchus_magnirostris,Platyspizia_crassirostris,Zenaida_galapagoensis
Achyranthes_aspera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bidens_pilosa,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blainvillea_dichotoma,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boerhavia_caribaea,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,2,0,4,1,0,0
Castela_galapageia,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Chamaesyce_punctulata,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiococca_alba,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,21,17,2,0,0,0
Citrus_sp,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clerodendrum_molle,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordia_leucophlyctis,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,0,2,0,0,1
Cordia_lutea,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
Crotalaria_pumila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Croton_scouleri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cryptocarpus_pyriformis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Desmodium_incanum,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
Desmodium_procumbens,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
Eragrostis_sp,0,0,0,0,0,0,0,0,0,1,45,1,0,0,0,0,0,0,0,1,0
Erichloa_pacifica,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Exodeconus_miersii,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Fimbrystilis_dichotoma,0,0,0,0,0,2,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0
Hippomane_mancinella,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypoxis_decumbens,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Ipomoea_linearifolia,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ipomoea_nil,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lantana_camara,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,9,5,0,8,0,0
Lantana_peduncularis,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,20,0,2,0,0,0
Ludwigia_leptocarpa,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Maytenus_octogona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
Mentzelia_aspera,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
Miconia_robinsoniana,7,13,0,3,4,0,0,2,69,5,30,0,0,0,0,0,1,0,6,4,0
Momordica_charantia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Opuntia_echios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Panicum_sp,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Paspalum_conjugatum,0,1,0,1,0,0,0,1,7,0,25,0,0,0,0,0,0,0,0,0,0
Passiflora_foetida,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Pennisetum_purpureum,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pilea_baurii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Poaceae,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0
Polygonum_opelousanum,0,0,0,0,0,0,2,0,0,1,15,1,1,0,0,0,0,0,0,0,12
Portulaca_oleracea,0,0,0,0,0,0,9,0,0,1,5,0,0,1,0,0,1,0,0,0,1
Psidium_galapageium,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psidium_guajava,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
