,Asecodes_mento,Campylocheta_inepta,Cotesia_errator,Diadegma_armillata,Hyposoter_didymator,Meteorus_colon,Wagneria_gagatea,Aleiodes_alternator,Barylypa_propugnator,Campoletis_sp,Campoplex,Chorinaeus,Meloboris_collector,Meteorus_pulchricornis,Meteorus_versicolor
Anarta_myrtilli,0,6,0,0,5,2,1,0,1,0,0,0,0,3,2
Aristotelia_ericinella,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Ematurga_atomaria,0,6,0,0,0,0,1,0,0,0,0,0,0,0,1
Eupithecia_nanata,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0
Gymnoscelis_rufifasciata,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0
Lochmaea_suturalis,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lycophotia_porphyrea,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Neofaculta_ericetella,0,6,0,6,0,0,0,0,0,0,1,1,0,0,0
Noctuidae_sp1,0,6,0,5,6,3,0,0,0,0,0,0,1,3,2
Pachycnemia_hippocastanaria,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
Phragmatobia_fuliginosa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
