,Anarta_myrtilli,Arctia_caja,Argyrotaenia_ljungiana,Aristotelia_ericinella,Autographa_gamma,Dicallomera_fascelina,Ematurga_atomaria,Epirrita_christyi,Eupithecia_absinthiata__f.goossensiata,Eupithecia_centaureata_cf,Eupithecia_nanata,Geometridae_sp1,Geometridae_sp2,Gymnoscelis_rufifasciata,Idaea_dimidiata,indsp1,Lacanobia_w-latinum,Lochmaea_suturalis,Lycophotia_porphyrea,Neofaculta_ericetella,Noctuidae_sp1,Pachycnemia_hippocastanaria,Pheosia_gnoma,Phragmatobia_fuliginosa,Symphita_sp
Betula_sp,0,0,0,0,0,4,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Calluna_vulgaris,7,1,1,7,0,4,7,1,1,1,6,0,0,8,0,0,1,8,7,8,7,7,0,1,7
Erica_cinerae,7,0,0,7,0,0,7,0,0,0,5,0,0,8,0,0,0,8,7,8,7,7,0,0,0
Erica_tetralix,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0
Gaultheria_shallon,0,0,0,0,1,0,7,0,0,0,0,0,1,8,1,2,1,0,0,0,0,0,0,0,0
Giesta,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pteridium_aquilinum,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,7
Rhododendron_ponticum,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubus_fruticosus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulex_europaeus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Ulex_minor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
