,Aprostocetus_sp,Bracon_immutator,Bracon_osculator,Bracon_praecox,Crataepus_marbis,Eurytoma_sp_A,Eurytoma_sp_B,Mesopolobus_incultus,Pterandrophysalis_levantina,Pteromalus_albipennis,Pteromalus_beryllii,Pteromalus_elevatus,Pteromalus_sequester-group,Spintherus_dubius,Triaspis_floricola,Trichomalus_campestris,Trichomalus_rufinus
Bruchidius_varius,64.98,0,0,0,0,0,0,0,0,0,0,0,0,974.6,130,0,0
Bruchophagus_gibbus,0,0,0,0,0,0,0,64010,0,0,0,0,0,1730,0,17300,3460
Curtonotus_aulicus,0,10.23,5.114,0,0,5.114,5.114,0,368.2,0,0,0,0,0,0,0,0
Olibrus_aeneus,0,10.23,5.114,0,0,5.114,5.114,0,368.2,0,0,0,0,0,0,0,0
Oxystoma_pomonae,0,0,0,0,0,0,0,0,0,0,0,0,1657,0,0,0,0
Protapion_apricans,324.9,0,0,0,0,0,0,56300,0,0,0,0,0,6675,649.8,15140,3028
Protapion_assimile,292.4,0,0,0,0,0,0,1439,0,0,0,0,0,5825,584.8,0,0
Protapion_fulvipes,130,0,0,0,0,0,0,217200,0,0,0,0,0,15690,259.9,44880,66560
Protapion_trifolii,194.9,0,0,0,0,0,0,60610,0,0,0,0,0,9043,389.9,15140,3028
Protapion_varipes,32.49,0,0,0,0,0,0,0,0,0,0,0,0,487.3,64.98,0,0
Rhinocyllus_conicus,0,10.23,5.114,0,0,5.114,5.114,0,368.2,0,0,0,0,0,0,0,0
Sitona_lineatus,32.49,0,0,0,0,0,0,0,0,0,0,0,0,487.3,64.98,0,0
Sitona_sulcifrons,32.49,0,0,0,0,0,0,0,0,0,0,0,0,487.3,64.98,0,0
Terellia_longicauda,0,0,0,0,0,0,0,0,0,0,145.9,0,0,0,0,0,0
Terellia_ruficauda,0,0,0,205.7,0,0,0,0,0,24650,0,0,0,0,0,0,0
Terellia_serratulae,0,102.3,51.14,0,315.6,51.14,51.14,0,0,0,1021,105.2,0,0,0,0,0
Urophora_stylata,0,971.6,485.8,1851,2998,485.8,485.8,0,0,0,0,999.4,0,0,0,0,0
