	Acyrthosiphon_pisum	Aphid_species1	Aphis_fabae	Aphis_galiiscabri	Aphis_rumicis	Aphis_urticae	Brachycaudus_helichrysii	Capitophorus_elaeagnii	Cavariella_aegopodii	Cryptomyzus_korschelti	Dysaphis_species_1	Hyperomyzus_lactucae	Lipaphys_erysimi	Macrosiphum_funestum	Metopolophium_dihrodum	Microlophium_carnosum	Myzocallis_coryli	Myzus_persicae	Nasonvoia_ribisnigri	Phorodon_humuli	Sipha_maydis	Sitobion_avenae	Sitobion_fragariae	Therioaphis_trifoli	Tubaphis_ranunculina	Uroleucon_aeneum	Uroleucon_cirsii	Uroleucon_sonchi
_Triticosecale	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2022000	0	0	0	0	0	0
Aphanes_arvensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37380	0	0	0	0	0	0	0	0	0	0
Avena_sativa_winter-sown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	635400	0	0	0	0	0	0	83060	0	0	0	0	0	0
Cerastium_fontanum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98180	0	0	0	0	0	0	0	0	0	0
Cirsium_arvense	0	0	0	0	0	0	0	403500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96720000	66560000	0
Cirsium_vulgare	0	0	0	0	0	0	0	0	0	0	0	828500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corylus_avellana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1597	0	0	0	0	0	0	0	0	0	0	0
Crataegus_monogyna	0	0	0	0	0	0	0	0	0	0	145.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Euonymus_europaeus	0	0	725.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Galium_aparine	0	0	0	442800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heracleum_sphondylium	0	0	0	0	0	0	0	0	1703000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lamiastrum_galeobdolon	0	2486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Matricaria_discoidea	0	0	0	0	0	0	605300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Matricaria_recutita	0	0	0	0	0	0	114500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myosotis_arvensis	0	0	0	0	0	0	5374000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plantago_sp	0	0	0	0	0	0	23810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Poaceae	0	0	0	0	0	0	0	0	8218	0	0	0	0	0	51570	0	0	0	0	0	29890000	22120000	0	0	0	0	0	0
Prunus_spinosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11320	0	0	0	0	0	0	0	0
Ranunculus_repens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1206000	0	0	0
Rosa_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34460	0	0	0	0	0
Rubus_fruticosus	0	0	0	0	0	0	0	0	0	0	0	0	0	104500	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rumex_sp	0	0	0	0	9202000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scrophularia_auriculata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2761	0	0	0	0	0	0	0	0	0	0
Sinapis_arvensis	0	0	0	0	0	0	0	0	0	0	0	0	2010000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sonchus_asper.oleraceus	0	0	0	0	0	0	0	0	0	0	0	1225000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322600
Stachys_sylvatica	0	0	0	0	0	0	0	0	0	6629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trifolium_pratense.repens	297700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60490	0	0	0	0
Triticum_aestivum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15280000	0	0	0	0	0	0
Urtica_dioica	0	0	0	0	0	5252	0	0	0	0	0	0	0	0	0	142500	0	0	0	0	0	0	0	0	0	0	0	0
Veronica_arvensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194900	0	0	0	0	0	0	0	0	0
