,Dolichoderus_cuspidatus,Dolichoderus_indrapurensis,Dolichoderus_maschwitzi,Dolichoderus_pastoralis,Dolichoderus_thoracicus,Dolichoderus_sp2,Technomyrmex_cf_albipes,Technomyrmex_3spp,Anoplolepis_gracilipes,Camponotus_cf_arrogans,Camponotus_gigas,Camponotus_cf_irritabilis,Camponotus_reticulatus,Camponotus_rufifemur,Camponotuscf_saundersi,Camponotus_(Tanamyrmex)_sp1,Camponotus_cf_dolichoderoides,Camponotus_sp2,Paratrechina_sp1,Paratrechina_sp3,Paratrechina_3spp,Polyrhachis_olybrius,Polyrhachis_ypsilon,Polyrhachis_7spp,Plagiolepis_sp1,Cataulacus_sp1,Crematogaster_coriaria,Crematogaster_modiglianii,Crematogaster_rogenhoferi,Crematogaster_(Orthocrema)_sp1,Crematogaster_(Orthocrema)_sp2,Crematogaster_(Paracrema)_2spp,Lophomyrmex_cf_bedoti,Monomorium_2spp,Myrmicaria_2spp,Paratopula_sp1,Pheidole_huberi,Pheidole_2spp,Pheidologeton_sp1,Rhoptromyrmex_sp1,Solenopsis_sp1,Tetramorium_sp1,Tetramorium_2spp
Membracidae_13spp,0,2,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
Cicadellidae_22spp,0,2,1,0,4,0,3,0,0,3,1,1,0,0,2,0,0,0,3,0,0,0,1,1,0,0,0,14,0,1,0,2,6,1,0,1,1,2,0,1,0,0,0
Delphacidae_1sp,0,3,0,0,1,0,2,1,0,5,0,1,0,0,1,0,0,0,1,0,1,2,0,1,0,1,0,5,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0
Aleyrodidae_1sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphis_gossypii/spiraeola,0,0,0,0,5,1,2,0,3,0,0,0,2,0,0,3,0,0,0,1,3,1,0,2,1,0,0,0,0,1,0,0,1,2,0,1,0,1,0,0,1,4,1
Coccidea_9spp,0,1,0,0,2,0,1,2,1,3,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,6,0,2,2,0,1,1,0,0,1,0,0,0,0,0,0
Margarodidae__sensu_lato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudococcidae_4spp,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Allomyrmococcini_3spp,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psyllidae_1sp,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coreidae_2sp,0,0,0,0,0,0,1,0,0,5,2,1,0,1,1,0,0,0,1,1,1,3,1,1,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Plataspididae_1sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
