,Membracidae_13spp,Cicadellidae_22spp,Delphacidae_1sp,Aleyrodidae_1sp,Aphidae,Aphis_gossypii/spiraeola,Coccidea_9spp,Margarodidae_sensu_lato,Pseudococcidae_4spp,Allomyrmococcini_3spp,Psyllidae_1sp,Coreidae_2sp,Plataspididae_1sp
Fissistigma_sp,0,1,0,0,0,0,0,0,1,0,0,0,0
Polyalthia_sp,0,0,0,1,0,0,0,0,0,0,0,0,0
Chromolaena_odorata,1,1,0,0,0,13,2,0,2,0,0,0,0
Micania_micrantha,0,0,0,0,0,1,0,0,0,0,0,0,0
Merremia_peltata,1,0,0,0,0,1,0,0,0,0,0,0,0
Costus_globosus,0,1,0,0,0,0,0,0,0,0,0,0,0
Parashorea_malaanonan/tomentella,0,11,0,0,0,0,0,1,0,1,0,0,0
Mallotus_floribundus,0,1,0,0,0,0,1,0,0,0,0,0,0
Mallotus_miquelianus,0,1,0,0,0,0,0,0,0,0,0,0,0
Mallotus_wrayi,0,0,0,1,0,0,0,0,0,0,0,0,0
Mallotus_sp,0,0,0,0,0,0,1,0,0,0,0,0,0
Bauhinia_sp,0,1,0,0,0,0,0,0,0,0,0,0,0
Caesalpinia_sp,1,0,0,0,0,0,0,0,0,0,0,0,0
Spatholobus_sp,9,4,0,0,0,0,0,0,0,0,6,0,0
Fabaceae_indet,0,1,0,0,0,0,0,0,0,0,0,0,0
Beischmiedia_micrantha,0,1,0,0,0,0,1,0,0,0,0,0,0
Litsea_sp,0,0,0,0,0,0,1,0,0,0,0,0,0
Nothaphoebe_sp,0,0,0,0,0,0,1,0,0,0,0,0,0
Leea_cf_indica,1,4,0,0,0,0,0,0,0,0,0,0,0
Melastoma_melabathricum,1,1,0,0,0,1,0,0,0,0,0,0,0
Aglaia_sp,1,1,0,0,0,0,1,0,0,0,0,0,0
Ardisia_sp,0,0,0,0,0,0,1,0,0,0,0,0,0
Dinochloa_trichogona,0,1,11,0,0,0,4,0,1,4,1,13,0
Pleurocarpidia_sandanica,0,1,0,0,0,0,0,0,0,0,0,0,0
Rubiaceae_indet,0,1,0,0,0,0,0,0,0,0,0,0,0
Brownlowia_peltata,0,2,0,0,0,0,0,0,0,0,0,0,0
Pentace_adenophora,1,0,0,0,0,0,0,0,0,0,0,0,0
Dendrocnide_sp,0,1,0,0,0,0,0,0,0,0,0,0,0
Callicarpa_longifolia,0,0,0,0,1,0,0,0,0,0,0,0,0
Tetrastigma_sp,0,1,0,0,0,0,0,0,0,0,0,0,0
Etlingera_sp,0,0,0,0,0,0,0,0,0,1,0,0,0
Fam_indet,2,3,0,0,0,1,3,0,1,3,0,0,1
