,Ixodes_acuminatus,Ixodes_arboricola,Ixodes_frontalis,Ixodes_ricinus,Ixodes_sp.,Ixodes_ventalloi
Carduelis_chloris,0,0,2,0,0,2
Certhia_brachydactyla,0,8,11,0,1,0
Cettia_cetti,0,0,2,2,0,0
Cyanistes_caeruleus,0,1,11,0,1,0
Erithacus_rubecula,0,0,292,10,3,0
Ficedula_hypoleuca,0,0,0,1,0,0
Fringilla_coelebs,0,0,5,1,1,0
Parus_major,0,2,33,1,1,2
Phylloscopus_collybita,0,0,1,0,0,0
Regulus_ignicapillus,0,0,1,0,0,0
Serinus_serinus,0,0,1,0,0,0
Sitta_europaea,0,0,0,1,0,0
Sturnus_unicolor,0,2,0,0,0,0
Sylvia_atricapilla,0,0,6,2,0,0
Troglodytes_troglodytes,0,0,67,19,2,0
Turdus_iliacus,1,0,20,0,1,1
Turdus_merula,1,1,251,64,7,19
Turdus_philomelos,0,0,83,4,2,4
