,Agathidinae,Anagrus_atomus,Aphanogmus_sp,Aphytis_sp,Aprostocetus_artemisiae,Aprostocetus_cecidomyiarum,Aprostocetus_sp,Bootanomyia_almusiensis,Bootanomyia_dorsalis,Braconidae,Braconidae-1,Chrysocharis_sp,Clinodiplosis_sp,Encarsia_citrina,Encyrtidae_A,Entedon_sp_A,Eupelmus_cf_seculatus,Eupelmus_sp_A,Exeristes_sp,Mesopolobus_mediterraneus,Mesopolobus_meridionalis,Mesopolobus_sp,Mesopolobus_tibialis,Mymaridae,Pediobius_rotundatus,Pediobius_sp,Pimpla_sp,Platygaster_modesta,Platygaster_sp,Sycophila_biguttata,Sycophila_binotata,Sycophila_variegata,Synopeas_sp,Torymus_bedeguaris,Torymus_cf_canariensis,Torymus_cf_phyllireae,Torymus_flavipes,Torymus_sp,Torymus_sp_A,Torymus_sp_C
Andricus_feocundatrix,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Aphididae-U,0,0,0,10,0,0,3,0,0,0,0,0,0,33,21,0,0,0,0,31,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
Asphondylia_ulicis,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Braueriella_phillyreae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cistapion_cyanescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cochylimorpha_hilarana_cf,12,0,0,0,18,5,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1
Diplolepis_rosae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Hexomyza_sarothamni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Indeterminated_Dipsacus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indeterminated_Phillyrea1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0
Phyllodiplosis_cocciferae?,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,50,0
Plagiotrochus_quercusilicis_1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,768,0,1307,0,0,0,0,0,100,1811,1,0,0,0,1027,0,0,0
Plagiotrochus_quercusilicis_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,0,572,0,0,0,0,0,0,2,0,0,0,0,1141,0,0,0
Plagiotrochus_quercusilicis_3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,15,0,0,0,0,16,12,0,0,0,0,0,0,0,0,0
Plagiotrochus_quercusilicis_4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,0,0,0,0,3,0,0
Rhopalomyia_baccarum,0,13,0,0,379,503,1,0,0,0,1,0,0,1,0,0,10,1,0,0,719,0,0,0,0,0,0,216,0,0,0,0,0,0,1,0,0,0,0,0
Stenopterapion_(Cobosiotherium)_scutellare,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wachtliella_ericina,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,140,0,0
