,Cotesia_marginiventris,Diadegma_blackburni,Hypiscera_sp,Hyposoter_exiguae,Meteorus_laphygmae,Pristomerus_hawaiiensis,Sierola_sp2
Agrotis_hephaestaea,1,0,0,0,0,0,0
Eccoptocera,0,0,0,0,0,1,1
Eudonia_sp1,0,0,0,0,1,0,0
Eupithecia_monticolans,0,0,0,0,1,0,0
Fletcherana_leucoxyla,0,0,0,0,4,0,0
Haliophyle_euclidias,1,0,0,0,1,0,0
Omiodes_antidoxa,0,0,1,0,0,0,0
Scotorythra_complex,21,0,0,3,25,0,0
Scotorythra_ortharcha,0,0,0,1,2,0,0
Spheterista_pleonectes,1,11,0,0,0,0,0
Thyrocopa_complex,0,0,0,0,2,0,0
Udea_constricta,0,0,0,0,0,1,0
Udea_pyranthes,0,1,0,0,0,0,0
