,Agrotis_hephaestaea,Amorbia_emigratella,Batrachedrodes_sp,Carposina_graminis,Croesia_zimmermani,Eccoptocera,Eudonia_sp1,Eupithecia_monticolans,Eupithecia_orichloris,Eupithecia_rhodopyra,Eupithecia_sp_1,Fletcherana_leucoxyla,Haliophyle_euclidias,Hyles_calida,Omiodes_antidoxa,Pararrhaptica_complex,Schreckensteinia_festaliella,Scotorythra_complex,Scotorythra_ortharcha,Scotorythra_sp_3,Spheterista_pleonectes,Stenoptilodes_littoralis,Thyrocopa_complex,Thyrocopa_sp1,Udea_constricta,Udea_ommatias,Udea_pyranthes,Udea_sp_1
Acacia_melanoxylon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
Alyxia_oliviformis,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Athyrium_microphyllum,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Broussaisia_arguta,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Cheirodendron_trigynum,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,72,0,0,50,0,2,0,0,0,0,0
Coprosma_kauensis,0,0,0,0,0,0,0,0,2,0,1,32,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Coprosma_waimeae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryptomeria_japonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Dicranopteris_linearis,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Diplazium_sandwichianum,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dryopteris,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dubautia_paleata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dubautia_raillardioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0
Elaeocarpus_bifidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0
Elaphoglossum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hedychium_gardnerianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
Ilex_anomala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Labordia_degeneri,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melicope_anisata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Melicope_clusiifolia,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
Metrosideros_polymorpha,0,0,0,0,0,5,0,5,2,0,0,0,0,0,0,0,0,55,0,1,0,0,6,0,0,0,0,0
Myrsine_kauaiensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Psidium_cattleianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Psychotria,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Rubus_argutus,0,3,0,0,21,0,0,0,1,0,0,0,0,0,0,0,76,16,0,0,0,0,1,0,0,0,0,0
Scaevola_procera,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
Smilax_melastomifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,2,0,0,0,0,0
Stenogyne_purpurea,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
Syzygium_sandwicensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Vaccinium_calycinum,0,0,0,1,0,0,1,1,6,0,0,0,0,0,0,0,0,184,0,0,0,3,8,0,0,0,7,0
Wikstroemia_oahuensis,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
