,Achrysocharoides_atys,Achrysocharoides_cilla,Achrysocharoides_splendens,Adelius_clandestinus,Adelius_spec._nov.,Agonia_adducta,Aleiodes_circumscriptus,Aleiodes_similis,Aleiodes_sp,Apanteles_candidatus,Apanteles_circumscriptus,Apanteles_decorus,Apanteles_dilectus,Apanteles_elpis,Apanteles_emarginatus,Apanteles_laevigatus,Apanteles_sp,Apanteles_xanthostigma,Apechthis_compunctor,Aphanogmus_sp,Apodesmia_rufipes,Apodesmia_similis_,Apodesmia_sp_near_similis,Apophua_evanescens,Bassus_rugulosus,Biosteres_carbonarius,Bracon_(Habrobracon)_stabilis,Campoletis_sp,Campoplex_sp,Campoplex_sp_A,Campoplex_sp_B,Carcelia_tibialis,Casinaria_sp,Charmon_cruentatus,Chelonus_sp,Chelonus_sp_Indet._Spec._A,Chelonus_sp_Indet._Spec._B,Chorebus_aphantus,Chorebus_avesta,Chorebus_daimenes,Chorebus_diremtus,Chorebus_kama,Chorebus_lateralis,Chorebus_punctus,Chorebus_solstitialis,Chorebus_sp,Chorebus_trilobomyzae,Chrysocharis_gemma,Chrysocharis_idyia,Chrysocharis_liriomyzae,Chrysocharis_nepherea,Chrysocharis_orbicularis,Chrysocharis_pallipes,Chrysocharis_pentheus,Chrysocharis_polyzo,Chrysocharis_prodice,Chrysocharis_pubens,Chrysocharis_pubicornis,Chrysocharis_sp,Chrysocharis_viridis,Cirrospilus_diallus,Cirrospilus_pictus,Clinocentrus_cunctator,Colastes_braconius,Compsilura_concinnata,Copidosoma_aretas,Cotesia_glomerata,Cotesia_jucunda,Cotesia_sp,Cotesia_vestalis,Cyrtogaster_vulgaris,Dacnusa_areolaris,Dacnusa_confinis,Dacnusa_faeroensis,Dacnusa_macrospila,Dacnusa_maculipes,Dacnusa_sp,Dacnusa_sp_near_confinis,Dacnusa_tarsalis,Dacnusa_temula,Dapsilarthra_florimela,Derostenus_punctiscuta,Diadegma_(Neoangitia)_sp,Diadegma_?semiclausum,Diadegma_?stigmatellae,Diadegma_crataegi,Diadegma_indet.sp,Diadegma_semiclausum,Diadegma_sp_1,Diadegma_sp_2,Diadegma_sp_B,Diadegma_sp_D,Diadegma_sp_E,Diadegma_sp_F,Diadegma_sp_G,Diadegma_sp_H,Diadegma_sp_I,Diadegma_stigmatellae,Diglyphus_isaea,Diolcogaster_connexa,Elachertus_inunctus,Enytus_sp,Epiclerus_panyas,Eulophus_larvarum,Eumea_linearicornis,Exotela_cyclogaster_var._umbellina,Exotela_flavicoxa,Exotela_hera,Gelis_areator,Glypta_sp,Glypta_sp_A,Glypta_sp_B,Grammospila_rufiventris,Habronyx_nigricornis,Halticoptera_aenea,Hemiptarsenus_fulvicollis,Hemiptarsenus_ornatus,Hemiptarsenus_unguicellus,Herpestomus_brunnicornis,Heterolexis_balteata,Hyposoter_sp_A,Hyposoter_sp_B,Hyposoter_sp_C,Ischnus_inquisitorius,Itoplectis_alternans,Itoplectis_maculator,Leptacis_sp,Lissonota__sp,Macrocentrus_cingulum,Macrocentrus_linearis,Macrocentrus_pallipes,Merismus_sp,Mesochorus_sp,Meteorus_colon,Meteorus_melanostictus,Microgaster_novicia,Microgaster_sp,Microgaster_subcompleta,Microplitis_strenuus,Miscogaster_maculata,Miscogaster_near_hortensis,Miscogaster_rufipes,Nemorilla_floralis,Neochrysocharis_formosa,Oedemopsis_scabricula,Oncophanes_minutus,Opius_ambiguus,Opius_funebris,Opius_gracilis,Opius_levis,Opius_pallipes,Opius_staryi,Pales_pavida,Pediobius_alcaeus,Pediobius_metallicus,Pediobius_saulius,Phaedrotoma_austriaca,Phaedrotoma_exigua,Phaedrotoma_reconditor,Phaedrotoma_reptantis,Phaedrotoma_sp_near_rex,Phaedrotoma_sp_nov._near_signifemur,Phaeogenes_sp,Phobocampe_confusa,Phobocampe_sp,Phryxe_nemea,Phytodietus_sp,Pimpla_rufipes,Pnigalio_pectinicornis,Pnigalio_soemius,Pnigalio_sp,Protapanteles_anchisiades,Protapanteles_delitutus,Protapanteles_fulvipes,Protapanteles_parallelus,Protapanteles_vitripennis,Protodacnusa_tristis,Seladerma_diffine,Seladerma_tarsale,Sphaeripalpus_viridis,Sphegigaster_pallicornis,Stenichneumon_culpator,Sternaulopius_rossicus,Sympiesis_sericeicornis,Synomelix_albipes,Tranosema_sp,Tranosemella_praerogator,Tranosemella_sp,Triclistus_anthophilae,Utetes_pactus,Voria_ruralis,Winthemia_quadripustulata
Acronicta_psi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aglais_urticae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agonopterix_heracliana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agromyza_nana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agromyza_vicifoliae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthophila_fabriciana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Aphelia_paleana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apocheima_pilosaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autographa_gamma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biston_betularia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
