,Coccothraustes.coccothraustes,Dendrocopos.leucotos,Dendrocopos.major,Dendrocopos.medius,Erithacus.rubecula,Ficedula.hypoleuca,Ficedula.parva,Fringilla.coelebs,Garrulus.glandarius,Hippolais.icterina,Luscinia.luscinia,Muscicapa.striata,Parus.major,Phylloscopus.trochilus,Poecile.montanus,Poecile.palustris,Pyrrhula.pyrrhula,Sitta.europaea,Sylvia.atricapilla,Sylvia.borin,Tetrastes.bonasia,Turdus.merula,Turdus.philomelos,Apodemus.flavicollis,Columba.palumbus,Dryocopus.martius,Martes.martes,Muscardinus.avellanarius,Oriolus.oriolus,Periparus.ater,Sciurus.vulgaris,Turdus.iliacus,Turdus.pilaris,Turdus.viscivorus
Cornus.sanguinea,0,0,0,0,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,24.25,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0
Crataegus.monogyna,3,0,0,0,7,0,0,0,3,0,0,0,0,0,0,5,0,0,4,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0
Euonymus.europaea,0,0,0,0,57,0,0.861111111,0,0,0,0,0,2,0,1.75,2,0,0,6,0,0,2,0.972222222,0,0,0,0,0,0,0,0,0,0,0
Euonymus.verrucosus,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0
Frangula.alnus,0.180555556,0,0.041666667,0.388888889,6,0,0,0.097222222,0,0,0.194444444,1.125,1,0,0,1,0.055555556,3,28,1.5,0,4,1.875,0,0,0,0,0,0,0,0,0,0,0
Lonicera.xylosteum,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,1.25,0.75,0,0,0,0,0,0,0,0,0,0,0
Prunus.padus,22,0.071428571,0.5,0,4,0.571428571,0,2,0.428571429,0,1,1,7,0,0,0.785714286,0,0.857142857,28,4,0,45,9,0,0.071428571,0,0,0,0.142857143,0.071428571,0,0.071428571,0.142857143,0.071428571
Rhamnus.cathartica,0,0,0,0,3.575,0,0,0,0,0,0,0,1.2,0.5,0,1.45,0,0.6,66.225,3.225,0,3.275,2.3,0,0,0,0,0,0,0,0,0,0,0
Ribes.alpinum,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ribes.nigrum,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,8.875,0.115384615,0,0.596153846,0.384615385,0,0,0,0,0,0,0,0,0,0,0
Ribes.spicatum,0,0,0.730769231,0,1,0,0,0.269230769,0.076923077,0,0.076923077,0,0.423076923,0,0,0.038461538,0,0.038461538,5,0.730769231,0,3,1,0.346153846,0,0,0,0.076923077,0,0,0,0,0,0
Rubus.idaeus,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2.8,0.8,0,0,0,0,0,0,0,0,0,0,0
Sambucus.nigra,0,0,0,0,14,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,68,9,0,9,14,0,0,0,0,0,0,0,0,0,0,0
Sorbus.aucuparia,0.253846154,0.1,0.176923077,0.2,2,0.326923077,0,0,0.126923077,0,0,0,0,0.288461538,0.3,1,0.4,0,5,0.242307692,0.05,16,2,0,0,0.038461538,0.038461538,0,0,0,0.038461538,0,0,0
Viburnum.opulus,0,0,0,0,6.25,0,0,0,0.192857143,0.05,0,0,2,0,0,1.15,0,0,5.95,0.25,0.928571429,1,4,0,0,0,0,0,0,0,0,0,0,0
