,Camarhynchus_pallidus,Camarhynchus_parvulus,Camarhynchus_psittacula,Certhidea_fusca,Certhidea_olivacea,Crotophaga_ani,Dendroica_petechia,Geospiza_fortis,Geospiza_fuliginosa,Geospiza_magnirostris,Geospiza_scandens,Mimus_melanotis,Mimus_parvulus,Myiarchus_magnirostris,Platyspiza_crassirostris,Zenaida_galapagoensis
Castela_galapageia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ludwigia_leptocarpa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Maytenus_octogona,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Momordica_charantia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Panicum_sp,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Passiflora_foetida,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pennisetum_purpureum,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pilea_baurii,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Psidium_guajava,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Seed_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Seed_35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Seed_56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sida_spinosa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Solanum_americanum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tournefortia_rufo-sericea,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tradescantia_fluminensis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Exodeconus_miersii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Lantana_peduncularis,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Vallesia_glabra,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Cordia_leucophlyctis,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Cordia_lutea,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Desmodium_incanum,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Erichloa_pacifica,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Hypoxis_decumbens,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
Desmodium_procumbens,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
Boerhavia_caribaea,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
Mentzelia_aspera,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
Seed_01,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0
Poaceae,0,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0
Seed_12,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Portulaca_oleracea,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,1
Seed_27,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
Talinum_paniculatum,0,3,1,0,0,0,1,1,4,1,0,0,0,0,0,0
Scutia_spicata,0,0,0,0,0,0,0,0,1,0,0,1,7,3,0,0
Lantana_camara,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0
Chiococca_alba,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0
Rubus_niveus,1,0,0,0,0,0,0,2,1,0,0,6,0,10,0,0
Tournefortia_pubescens,0,0,0,0,0,0,0,0,0,0,0,2,16,2,0,0
Fimbrystilis_dichotoma,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0
Zanthoxylum_fagara,0,0,0,0,0,1,0,0,0,0,0,6,2,20,0,0
Polygonum_opelousanum,0,0,0,0,0,0,0,1,15,1,1,0,0,0,0,12
Paspalum_conjugatum,0,1,0,1,0,1,7,0,25,0,0,0,0,0,0,0
Eragrostis_sp,0,0,0,0,0,0,0,1,45,1,0,0,0,0,1,0
Seed_28,0,0,0,0,0,0,0,0,54,0,1,0,0,0,0,0
Tournefortia_psilostachya,0,0,0,0,0,1,11,1,0,0,0,5,33,10,1,0
Miconia_robinsoniana,7,13,0,3,4,2,69,5,30,0,0,1,0,6,4,0
