,Acaulospora_sp,Claroideoglomus,Claroideoglomus_lamellosum,Claroideoglomus_sp,Diversispora_sp,Glomus_clarum,Glomus_indicum,Glomus_manihotis,Glomus_VT069,Glomus_VT075,Glomus_VT076,Glomus_VT077,Glomus_VT083,Glomus_VT085,Glomus_VT091,Glomus_VT092,Glomus_VT093,Glomus_VT096,Glomus_VT108,Glomus_VT109,Glomus_VT111,Glomus_VT112,Glomus_VT121,Glomus_VT128,Glomus_VT130,Glomus_VT131,Glomus_VT132,Glomus_VT133,Glomus_VT143,Glomus_VT146,Glomus_VT154,Glomus_VT156,Glomus_VT165,Glomus_VT166,Glomus_VT167,Glomus_VT175,Glomus_VT185,Glomus_VT199,Glomus_VT204,Glomus_VT206,Glomus_VT209,Glomus_VT214,Glomus_VT215,Glomus_VT247,Glomus_VT248,Glomus_VT256,Glomus_VT269,Glomus_VT270,Glomus_VT280,Glomus_VT304,Glomus_VT312,Glomus_VT322,Glomus_VT342,Glomus_VT360,Glomus_VT370,Glomus_VT384,Glomus_VT397,Glomus_VT398,Glomus_VT399,Glomus_VT410,Glomus_VT412,Glomus_VT419,Glomus_VT420,Paraglomus_laccatum,Paraglomus_occultum,Paraglomus_sp,Scutellospora_sp2,Scutellospora_heterogama,Scutellospora_sp1
Acacia_nilotica,0,0,0,0,0,0,0,0,0.1779563,0,0,0,0,0,0,0.825265643,0,0,0,0,0.667621,0,0,0,0,0,0.61393152,0,0,0,0,0,0,0,0,0,0.14167651,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14167651,0,0,0,0,0,0,0,0,0,0.59319,0,0,0,0,0,0,0,0
Acacia_robusta,0,0,0,0,0,0,0,0,0.18396226,0,0,0.283189,0,0.866377,0,0.775472,0,0,0,0,0.141594,0,0,0,0,0,0.19339623,0,0,0,0,0,0,0,0.471698,0,0.869811321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia_sp,0.26288118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7241857,0.151525,0.639148,0,0,0.6239958,0,0,0,0,0,0.151525,0,0,0.3154574,0,0,0,0,0.21349,0,0.3154574,0,0,0,0,0,0,0,0,0,0.151525,0.18416824,0,0,0,0,0,0,0.736673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allophylus_africanus,0,0,0,0,0,0,0,0,0.33333,0,0,0,0,0,0,0.33799534,0,0,0,0,0.1981352,0.23312,0.116551,0.349653,0.116551,0,0.1631716,0,0,0,0.6412564,0,0,0,0.87412587,0,0.3944289,0,0,0.116551,0.93249,0,0,0,0,0,0,0,0.1981352,0.46625,0.23312,0,0,0,0,0.69937,0,0,0,0,0.31468531,0.116551,0,0,0,0,0,0,0
Boerhavia_diffusa,0,0,0,0,0,0,0,0,0.248163,0,0.248163,0,0.248163,0,0,0.714285714,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6122449,0,0,0,0.248163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassia_abreviatta,0,0,0,0,0,0,0,0,0.154321,0,0.8246914,0.77165,0,0,0,0.551697531,0.541235,0,0,0,0.69444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231481481,0,0,0,0.1697539,0,0,0,0,0,0,0.18518519,0,0,0.154321,0,0,0,0,0,0.22376543,0,0,0,0,0,0,0,0,0,0,0,0
Diospyros_senensis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faidherbia_albida,0,0.751315,0,0,0,0.8264463,0.751315,0.113448535,0.751315,0,0.2629618,0,0,0,0.751315,0,0,0.3756574,0,0,0,0.751315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751315,0,0,0,0,0,0,0,0,0,0,0.4274733,0.298271976,0,0.976792,0,0,0,0,0,0,0,0.2253944,0.1831555,0,0,0.19534185,0,0.151847,0.533892,0.35259,0.16528926,0.12772352
Grewia_inaequilatera,0,0,0,0,0,0,0,0,0.3711342,0,0.17216495,0,0,0,0,0.261856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832989691,0,0,0,0.139278,0,0,0,0,0,0,0.8247423,0,0.261856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyphaene_coriacea,0,0,0,0,0,0,0,0,0.2586452,0,0,0,0,0,0,0.72258645,0,0,0,0,0.18796774,0,0,0,0,0,0.3225865,0,0,0,0,0,0,0,0,0,0.2586452,0,0,0,0,0,0,0,0,0,0,0.6451613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phyllanthus_reticulatus,0,0,0,0,0,0,0,0,0.91486681,0,0,0,0,0,0,0.47987616,0,0,0,0,0.4643963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sterculia_africana,0,0,0,0,0,0,0,0,0.9987353,0,0,0.14341591,0,0,0,0,0,0,0,0,0,0,0,0,0.143248,0.133781,0.8649544,0,0,0,0,0.133781,0,0,0.157757497,0.5215124,0.56625815,0,0,0,0.28683181,0.133781,0,0,0,0,0,0,0,0.3911343,0,0,0,0,0,0.143248,0,0,0,0,0,0.19556714,0,0,0,0,0,0,0
Trichilia_capitata,0,0,0,0,0,0,0,0,0.7751938,0,0,0,0,0.629285,0,0.625322997,0.13781223,0,0,0,0.4366322,0,0,0,0,0,0.2583979,0.861326,0.861326,0,0,0,0,0,0,0,0.197243755,0,0,0,0.654681,0.861326,0,0,0,0,0,0,0,0,0,0,0,0,0.689612,0,0,0,0,0,0,0,0,0,0,0.2928599,0,0,0
Xanthocercis_zambesiaca,0.2816914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9148451,0,0,0,0,0.42253521,0,0,0,0,0,0,0,0.148457,0,0,0,0,0,0,0,0,0,0,0,0.148457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ziziphus_jujuba,0,0,0,0,0,0,0,0,0.2559727,0.2389785,0,0,0,0,0,0.253412969,0,0,0,0.86177474,0.5119454,0,0,0,0.1621164,0,0.5247782,0.853242,0,0,0.19624573,0,0,0,0.2559727,0,0.228668942,0.853242,0.1764846,0.3412969,0.6825939,0,0,0,0,0,0,0,0,0,0.853242,0,0,0,0,0,0.2559727,0,0,0,0.254266212,0,0,0,0,0,0,0,0
Zyziphum_mucronata,0,0,0,0,0,0,0,0,0.8295626,0,0,0,0,0,0,0.71872866,0,0,0,0,0.54298643,0,0,0,0,0,0.3777391,0,0,0,0,0,0,0,0,0,0.177224736,0,0,0,0.2262443,0,0.754148,0,0,0,0,0,0,0,0.754148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
