"","Aleiodes.declanae","Aleiodes.sp","Aucklandella.sp","Calcager.dubium","Calcageria.incidens","Campoletis.sp1","Campoletis.sp4","Campoletis.sp5","Campoletis.sp9","Campoplex.sp1","Campoplex.sp13","Campoplex.sp2","Campoplex.sp3","Campoplex.sp4","Campoplex.sp9","Carria.fortipes","Carria.no.areolet","Carria.petiolate.areolet","Carria.sp2","Carria.sp3","Casinaria.sp3","Choeras.sp","Cotesia.sp","Diadegma.brown","Diadegma.gold.setae","Diadegma.sp1","Diadegma.sp3","Dolichogenidae.sp2","Dolichogenidea.darklegs.sp4","Dolichogenidea.lightly.punct","Genotrichia.minor","Genotrichia.sp","Genus.nov.Hearthead","Glyptapanteles.dark","Glyptapanteles.sp2","Glyptapanteles.sp3","Glyptapanteles.sp4","Glyptapanteles.sp5","Glyptapanteles.sp6","Glyptapanteles.sp8","Glyptapanteles.sp9","Meteorus.cinctellus","Meteorus.cobbus","Meteorus.pulchricornis","Montanarturia.dimorpha","Ophion.sp","Pales.atrox","Pales.casta","Pales.clathrata","Pales.feredayi","Pales.funesta","Pales.marginata","Phytodietus.sp","Plagiomyia.longipes","Sciron.sp","Sympiesis.sp","Trigonospila.brevifacies","Uclesiella.sp","Zealachertus.sp","Zealachertus.tortriciphaga"
"Apoctena.sp",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0
"Archipini.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austrocidaria.sp",1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caloptilia.selenitis",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Catamacta.gavisana",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Celama.parvitis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chalastra.pellurgata",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chloroclystis.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cleora.scriptaria",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cnephasia.jactatana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
