,Andesia.pessota,Apoctena.sp,Archipini.sp,Austrocidaria.sp,Caloptilia.linearis,Caloptilia.selenitis,Catamacta.gavisana,Celama.parvitis,Chalastra.pellurgata,Chloroclystis.sp,Chrysodeixis.eriosoma,Cleora.scriptaria,Cnephasia.jactatana,Ctenopseustis.sp,Deana.hybreasalis,Declana.feredayi,Declana.floccosa,Declana.hermione,Declana.junctilinea,Declana.leptomera,Declana.niveata,Dipterina.imbriferana,Ecclitica.torogramma,Elvia.glaucata,Epalxiphora.axenana,Epichorista.emphanes,Epichorista.hemiona,Epiphyas.postvittana,Erechthias.externella,Eutorna.phaulocosma,Feredayia.graminosa,Gellonia.sp,Graphania.insignis,Graphania.mutans,Graphania.plena,Graphania.ustistriga,Grypotheca.pertinax,Gymnobathra.sp,Harmologa.amplexana,Helastia.sp,Heterocrossa.gonosemana,Heterocrossa.sp.indet.A,Holocola.emplasta,Holocola.parthenia,Holocola.zopherana,Hydriomena.deltoidata,Ischalis.gallaria,Ischalis.variabilis,Kessleria.copidota,Leucotenes.coprosmae,Liothula.omnivora,Meterana.dotata,Meterana.pascoi,Meterana.vitiosa,Musotima.nitidalis,Nyctemera.annulata,Nymphostola.galactina,Orthenches.sp,Paramorpha.marginata,Pasiphila.sandycias,Phaeosaces.sp,Physetica.prionistis,Physetica.sequens,Planotortrix.excessana,Planotortrix.notophaea,Planotortrix.octo,Poecilasthena.sp,Proteodes.profunda,Pseudocoremia.ampla,Pseudocoremia.fascialata,Pseudocoremia.fenerata,Pseudocoremia.fluminea,Pseudocoremia.leucelaea,Pseudocoremia.lupinata,Pseudocoremia.productata,Pseudocoremia.sp,Psychidae,Pyrgotis.sp,Rhapsa.scotosialis,Sagephora.phortegella,Sarisa.muriferata,Sestra.sp,Stathmopoda.sp.chocolate,Strepsicrates.sp,Tatosoma.lestevata,Tatosoma.tipulata,Thio,Thiotricha.lindsayi,Xyridacma.alectoraria,Xyridacma.ustaria
Alectryon.excelsus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aristotelia.serrata,0,1,0,0,0,0,1,0,0,0,0,3,0,31,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Asplenium.bulbiferum,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beilschmiedia.tawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berberis.sp,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blechnum.discolor,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,3,0,0,0
Blechnum.minus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carpodetus.serratus,0,3,1,0,0,0,0,0,0,1,0,0,0,68,0,0,13,0,0,1,0,0,0,0,0,1,0,0,0,1,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,2,0,0,0
Chamaecytisus.palmensis,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Coprosma.foetidissima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coprosma.grandifolia,0,2,0,14,0,0,1,0,0,1,0,0,2,34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0
