Species,Genus,Family,Order,Kingdom
Bracon_obscurator,Bracon,Braconidae ,Hymenoptera,Animalia
Campoplex_faunus,Campoplex,Ichneumonidae ,Hymenoptera,Animalia
Hsp1,,,,Animalia
Hsp5,,,,Animalia
Hsp7,,,,Animalia
Lestodiplosis_sp,Lestodiplosis,Cecidomyiidae ,Diptera,Animalia
Meteorus_ictericus,Meteorus,Braconidae ,Hymenoptera,Animalia
Microterys_sp,Microterys,Encyrtidae ,Hymenoptera,Animalia
Miotropis_unipuncta,Miotropis,Eulophidae ,Hymenoptera,Animalia
Pteromalus_sp,Pteromalus,Pteromalidae ,Hymenoptera,Animalia
Scambus_sp,Scambus,Ichneumonidae ,Hymenoptera,Animalia
Sympiesis_sp,Sympiesis,Eulophidae ,Hymenoptera,Animalia
