Species,Genus,Family,Order,Kingdom
Achrysocharoides_atys,Achrysocharoides,Eulophidae ,Hymenoptera,Animalia
Achrysocharoides_cilla,Achrysocharoides,Eulophidae ,Hymenoptera,Animalia
Achrysocharoides_splendens,Achrysocharoides,Eulophidae ,Hymenoptera,Animalia
Adelius_clandestinus,Adelius,Braconidae ,Hymenoptera,Animalia
Adelius_spec._nov.,Adelius,Braconidae ,Hymenoptera,Animalia
Agonia_adducta,Agonia,Braconidae ,Hymenoptera,Animalia
Aleiodes_circumscriptus,Aleiodes,Braconidae ,Hymenoptera,Animalia
Aleiodes_similis,Aleiodes,Braconidae ,Hymenoptera,Animalia
Aleiodes_sp,Aleiodes,Braconidae ,Hymenoptera,Animalia
Apanteles_candidatus,Apanteles,Braconidae ,Hymenoptera,Animalia
Apanteles_circumscriptus,Apanteles,Braconidae ,Hymenoptera,Animalia
Apanteles_decorus,Apanteles,Braconidae ,Hymenoptera,Animalia
Apanteles_dilectus,Apanteles,Braconidae ,Hymenoptera,Animalia
Apanteles_elpis,Apanteles,Braconidae ,Hymenoptera,Animalia
Apanteles_emarginatus,Apanteles,Braconidae ,Hymenoptera,Animalia
Apanteles_laevigatus,Apanteles,Braconidae ,Hymenoptera,Animalia
Apanteles_sp,Apanteles,Braconidae ,Hymenoptera,Animalia
Apanteles_xanthostigma,Apanteles,Braconidae ,Hymenoptera,Animalia
Apechthis_compunctor,Apechthis,Ichneumonidae ,Hymenoptera,Animalia
Aphanogmus_sp,Aphanogmus,Ceraphronidae ,Hymenoptera,Animalia
Apodesmia_rufipes,Apodesmia,Braconidae ,Hymenoptera,Animalia
Apodesmia_similis_,Apodesmia,Braconidae ,Hymenoptera,Animalia
Apodesmia_sp_near_similis,Apodesmia,Braconidae ,Hymenoptera,Animalia
Apophua_evanescens,Apophua,Ichneumonidae ,Hymenoptera,Animalia
Bassus_rugulosus,Bassus,Braconidae ,Hymenoptera,Animalia
Biosteres_carbonarius,Biosteres,Braconidae ,Hymenoptera,Animalia
Bracon_(Habrobracon)_stabilis,Bracon,Braconidae ,Hymenoptera,Animalia
Campoletis_sp,Campoletis,Ichneumonidae ,Hymenoptera,Animalia
Campoplex_sp,Campoplex,Ichneumonidae ,Hymenoptera,Animalia
Campoplex_sp_A,Campoplex,Ichneumonidae ,Hymenoptera,Animalia
Campoplex_sp_B,Campoplex,Ichneumonidae ,Hymenoptera,Animalia
Carcelia_tibialis,Carcelia,Tachinidae ,Diptera,Animalia
Casinaria_sp,Casinaria,Ichneumonidae ,Hymenoptera,Animalia
Charmon_cruentatus,Charmon,Braconidae ,Hymenoptera,Animalia
Chelonus_sp,Chelonus,Braconidae ,Hymenoptera,Animalia
Chelonus_sp_Indet._Spec._A,Chelonus,Braconidae ,Hymenoptera,Animalia
Chelonus_sp_Indet._Spec._B,Chelonus,Braconidae ,Hymenoptera,Animalia
Chorebus_aphantus,Chorebus,Braconidae ,Hymenoptera,Animalia
Chorebus_avesta,Chorebus,Braconidae ,Hymenoptera,Animalia
Chorebus_daimenes,Chorebus,Braconidae ,Hymenoptera,Animalia
Chorebus_diremtus,Chorebus,Braconidae ,Hymenoptera,Animalia
Chorebus_kama,Chorebus,Braconidae ,Hymenoptera,Animalia
Chorebus_lateralis,Chorebus,Braconidae ,Hymenoptera,Animalia
Chorebus_punctus,Chorebus,Braconidae ,Hymenoptera,Animalia
Chorebus_solstitialis,Chorebus,Braconidae ,Hymenoptera,Animalia
Chorebus_sp,Chorebus,Braconidae ,Hymenoptera,Animalia
Chorebus_trilobomyzae,Chorebus,Braconidae ,Hymenoptera,Animalia
Chrysocharis_gemma,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_idyia,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_liriomyzae,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_nepherea,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_orbicularis,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_pallipes,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_pentheus,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_polyzo,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_prodice,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_pubens,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_pubicornis,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_sp,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_viridis,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Cirrospilus_diallus,Cirrospilus,Eulophidae ,Hymenoptera,Animalia
Cirrospilus_pictus,Cirrospilus,Eulophidae ,Hymenoptera,Animalia
Clinocentrus_cunctator,Clinocentrus,Braconidae ,Hymenoptera,Animalia
Colastes_braconius,Colastes,Braconidae ,Hymenoptera,Animalia
Compsilura_concinnata,Compsilura,Tachinidae ,Diptera,Animalia
Copidosoma_aretas,Copidosoma,Encyrtidae ,Hymenoptera,Animalia
Cotesia_glomerata,Cotesia,Braconidae ,Hymenoptera,Animalia
Cotesia_jucunda,Cotesia,Braconidae ,Hymenoptera,Animalia
Cotesia_sp,Cotesia,Braconidae ,Hymenoptera,Animalia
Cotesia_vestalis,Cotesia,Braconidae ,Hymenoptera,Animalia
Cyrtogaster_vulgaris,Cyrtogaster,Pteromalidae ,Hymenoptera,Animalia
Dacnusa_areolaris,Dacnusa,Braconidae ,Hymenoptera,Animalia
Dacnusa_confinis,Dacnusa,Braconidae ,Hymenoptera,Animalia
Dacnusa_faeroensis,Dacnusa,Braconidae ,Hymenoptera,Animalia
Dacnusa_macrospila,Dacnusa,Braconidae ,Hymenoptera,Animalia
Dacnusa_maculipes,Dacnusa,Braconidae ,Hymenoptera,Animalia
Dacnusa_sp,Dacnusa,Braconidae ,Hymenoptera,Animalia
Dacnusa_sp_near_confinis,Dacnusa,Braconidae ,Hymenoptera,Animalia
Dacnusa_tarsalis,Dacnusa,Braconidae ,Hymenoptera,Animalia
Dacnusa_temula,Dacnusa,Braconidae ,Hymenoptera,Animalia
Dapsilarthra_florimela,Dapsilarthra,Braconidae ,Hymenoptera,Animalia
Derostenus_punctiscuta,Derostenus,Eulophidae ,Hymenoptera,Animalia
Diadegma_(Neoangitia)_sp,Diadegma,Ichneumonidae ,Hymenoptera,Animalia
Diadegma_?semiclausum,Diadegma,Ichneumonidae ,Hymenoptera,Animalia
Diadegma_?stigmatellae,Diadegma,Ichneumonidae ,Hymenoptera,Animalia
Diadegma_crataegi,Diadegma,Ichneumonidae ,Hymenoptera,Animalia
Diadegma_indet.sp,Diadegma,Ichneumonidae ,Hymenoptera,Animalia
Diadegma_semiclausum,Diadegma,Ichneumonidae ,Hymenoptera,Animalia
Diadegma_sp_1,Diadegma,Ichneumonidae ,Hymenoptera,Animalia
Diadegma_sp_2,Diadegma,Ichneumonidae ,Hymenoptera,Animalia
Diadegma_sp_B,Diadegma,Ichneumonidae ,Hymenoptera,Animalia
Diadegma_sp_D,Diadegma,Ichneumonidae ,Hymenoptera,Animalia
Diadegma_sp_E,Diadegma,Ichneumonidae ,Hymenoptera,Animalia
Diadegma_sp_F,Diadegma,Ichneumonidae ,Hymenoptera,Animalia
Diadegma_sp_G,Diadegma,Ichneumonidae ,Hymenoptera,Animalia
Diadegma_sp_H,Diadegma,Ichneumonidae ,Hymenoptera,Animalia
Diadegma_sp_I,Diadegma,Ichneumonidae ,Hymenoptera,Animalia
Diadegma_stigmatellae,Diadegma,Ichneumonidae ,Hymenoptera,Animalia
Diglyphus_isaea,Diglyphus,Eulophidae ,Hymenoptera,Animalia
Diolcogaster_connexa,Diolcogaster,Braconidae ,Hymenoptera,Animalia
Elachertus_inunctus,Elachertus,Eulophidae ,Hymenoptera,Animalia
Enytus_sp,Enytus,Ichneumonidae ,Hymenoptera,Animalia
Epiclerus_panyas,Epiclerus,Tetracampidae ,Hymenoptera,Animalia
Eulophus_larvarum,Eulophus,Eulophidae ,Hymenoptera,Animalia
Eumea_linearicornis,Eumea,Tachinidae ,Diptera,Animalia
Exotela_cyclogaster_var._umbellina,Exotela,Braconidae ,Hymenoptera,Animalia
Exotela_flavicoxa,Exotela,Braconidae ,Hymenoptera,Animalia
Exotela_hera,Exotela,Braconidae ,Hymenoptera,Animalia
Gelis_areator,Gelis,Ichneumonidae ,Hymenoptera,Animalia
Glypta_sp,Glypta,Ichneumonidae ,Hymenoptera,Animalia
Glypta_sp_A,Glypta,Ichneumonidae ,Hymenoptera,Animalia
Glypta_sp_B,Glypta,Ichneumonidae ,Hymenoptera,Animalia
Grammospila_rufiventris,Grammospila,Braconidae ,Hymenoptera,Animalia
Habronyx_nigricornis,Habronyx,Ichneumonidae ,Hymenoptera,Animalia
Halticoptera_aenea,Halticoptera,Pteromalidae ,Hymenoptera,Animalia
Hemiptarsenus_fulvicollis,Hemiptarsenus,Eulophidae ,Hymenoptera,Animalia
Hemiptarsenus_ornatus,Hemiptarsenus,Eulophidae ,Hymenoptera,Animalia
Hemiptarsenus_unguicellus,Hemiptarsenus,Eulophidae ,Hymenoptera,Animalia
Herpestomus_brunnicornis,Herpestomus,Ichneumonidae ,Hymenoptera,Animalia
Heterolexis_balteata,Heterolexis,Braconidae ,Hymenoptera,Animalia
Hyposoter_sp_A,Hyposoter,Ichneumonidae ,Hymenoptera,Animalia
Hyposoter_sp_B,Hyposoter,Ichneumonidae ,Hymenoptera,Animalia
Hyposoter_sp_C,Hyposoter,Ichneumonidae ,Hymenoptera,Animalia
Ischnus_inquisitorius,Ischnus,Ichneumonidae ,Hymenoptera,Animalia
Itoplectis_alternans,Itoplectis,Ichneumonidae ,Hymenoptera,Animalia
Itoplectis_maculator,Itoplectis,Ichneumonidae ,Hymenoptera,Animalia
Leptacis_sp,Leptacis,Platygastridae ,Hymenoptera,Animalia
Lissonota__sp,Lissonota,Ichneumonidae ,Hymenoptera,Animalia
Macrocentrus_cingulum,Macrocentrus,Braconidae ,Hymenoptera,Animalia
Macrocentrus_linearis,Macrocentrus,Braconidae ,Hymenoptera,Animalia
Macrocentrus_pallipes,Macrocentrus,Braconidae ,Hymenoptera,Animalia
Merismus_sp,Merismus,Pteromalidae ,Hymenoptera,Animalia
Mesochorus_sp,Mesochorus,Ichneumonidae ,Hymenoptera,Animalia
Meteorus_colon,Meteorus,Braconidae ,Hymenoptera,Animalia
Meteorus_melanostictus,Meteorus,Braconidae ,Hymenoptera,Animalia
Microgaster_novicia,Microgaster,Braconidae ,Hymenoptera,Animalia
Microgaster_sp,Microgaster,Braconidae ,Hymenoptera,Animalia
Microgaster_subcompleta,Microgaster,Braconidae ,Hymenoptera,Animalia
Microplitis_strenuus,Microplitis,Braconidae ,Hymenoptera,Animalia
Miscogaster_maculata,Miscogaster,Pteromalidae ,Hymenoptera,Animalia
Miscogaster_near_hortensis,Miscogaster,Pteromalidae ,Hymenoptera,Animalia
Miscogaster_rufipes,Miscogaster,Pteromalidae ,Hymenoptera,Animalia
Nemorilla_floralis,Nemorilla,Tachinidae ,Diptera,Animalia
Neochrysocharis_formosa,Neochrysocharis,Eulophidae ,Hymenoptera,Animalia
Oedemopsis_scabricula,Oedemopsis,Ichneumonidae ,Hymenoptera,Animalia
Oncophanes_minutus,Oncophanes,Braconidae ,Hymenoptera,Animalia
Opius_ambiguus,Opius,Braconidae ,Hymenoptera,Animalia
Opius_funebris,Opius,Braconidae ,Hymenoptera,Animalia
Opius_gracilis,Opius,Braconidae ,Hymenoptera,Animalia
Opius_levis,Opius,Braconidae ,Hymenoptera,Animalia
Opius_pallipes,Opius,Braconidae ,Hymenoptera,Animalia
Opius_staryi,Opius,Braconidae ,Hymenoptera,Animalia
Pales_pavida,Pales,Tachinidae ,Diptera,Animalia
Pediobius_alcaeus,Pediobius,Eulophidae ,Hymenoptera,Animalia
Pediobius_metallicus,Pediobius,Eulophidae ,Hymenoptera,Animalia
Pediobius_saulius,Pediobius,Eulophidae ,Hymenoptera,Animalia
Phaedrotoma_austriaca,Phaedrotoma,Braconidae ,Hymenoptera,Animalia
Phaedrotoma_exigua,Phaedrotoma,Braconidae ,Hymenoptera,Animalia
Phaedrotoma_reconditor,Phaedrotoma,Braconidae ,Hymenoptera,Animalia
Phaedrotoma_reptantis,Phaedrotoma,Braconidae ,Hymenoptera,Animalia
Phaedrotoma_sp_near_rex,Phaedrotoma,Braconidae ,Hymenoptera,Animalia
Phaedrotoma_sp_nov._near_signifemur,Phaedrotoma,Braconidae ,Hymenoptera,Animalia
Phaeogenes_sp,Phaeogenes,Ichneumonidae ,Hymenoptera,Animalia
Phobocampe_confusa,Phobocampe,Ichneumonidae ,Hymenoptera,Animalia
Phobocampe_sp,Phobocampe,Ichneumonidae ,Hymenoptera,Animalia
Phryxe_nemea,Phryxe,Tachinidae ,Diptera,Animalia
Phytodietus_sp,Phytodietus,Ichneumonidae ,Hymenoptera,Animalia
Pimpla_rufipes,Pimpla,Ichneumonidae ,Hymenoptera,Animalia
Pnigalio_pectinicornis,Pnigalio,Eulophidae ,Hymenoptera,Animalia
Pnigalio_soemius,Pnigalio,Eulophidae ,Hymenoptera,Animalia
Pnigalio_sp,Pnigalio,Eulophidae ,Hymenoptera,Animalia
Protapanteles_anchisiades,Protapanteles,Braconidae ,Hymenoptera,Animalia
Protapanteles_delitutus,Protapanteles,Braconidae ,Hymenoptera,Animalia
Protapanteles_fulvipes,Protapanteles,Braconidae ,Hymenoptera,Animalia
Protapanteles_parallelus,Protapanteles,Braconidae ,Hymenoptera,Animalia
Protapanteles_vitripennis,Protapanteles,Braconidae ,Hymenoptera,Animalia
Protodacnusa_tristis,Protodacnusa,Braconidae ,Hymenoptera,Animalia
Seladerma_diffine,Seladerma,Pteromalidae ,Hymenoptera,Animalia
Seladerma_tarsale,Seladerma,Pteromalidae ,Hymenoptera,Animalia
Sphaeripalpus_viridis,Sphaeripalpus,Pteromalidae ,Hymenoptera,Animalia
Sphegigaster_pallicornis,Sphegigaster,Pteromalidae ,Hymenoptera,Animalia
Stenichneumon_culpator,Stenichneumon,Ichneumonidae ,Hymenoptera,Animalia
Sternaulopius_rossicus,Sternaulopius,Braconidae ,Hymenoptera,Animalia
Sympiesis_sericeicornis,Sympiesis,Eulophida ,Hymenoptera,Animalia
Synomelix_albipes,Synomelix,Ichneumonidae ,Hymenoptera,Animalia
Tranosema_sp,Tranosema,Ichneumonidae ,Hymenoptera,Animalia
Tranosemella_praerogator,Tranosemella,Ichneumonidae ,Hymenoptera,Animalia
Tranosemella_sp,Tranosemella,Ichneumonidae ,Hymenoptera,Animalia
Triclistus_anthophilae,Triclistus,Ichneumonidae ,Hymenoptera,Animalia
Utetes_pactus,Utetes,Braconidae ,Hymenoptera,Animalia
