Species,Genus,Family,Order,Kingdom
Andesia.pessota,Andesia,Noctuidae,Lepidoptera,Animalia
Apoctena.sp,Apoctena,Tortricidae,Lepidoptera,Animalia
Archipini.sp,Archipini,Tortricidae,Lepidoptera,Animalia
Austrocidaria.sp,Austrocidaria,Geometridae,Lepidoptera,Animalia
Caloptilia.linearis,Caloptilia,Gracillariidae,Lepidoptera,Animalia
Caloptilia.selenitis,Caloptilia,Gracillariidae,Lepidoptera,Animalia
Catamacta.gavisana,Catamacta,Tortricidae,Lepidoptera,Animalia
Celama.parvitis,Celama,Nolidae,Lepidoptera,Animalia
Chalastra.pellurgata,Chalastra,Geometridae,Lepidoptera,Animalia
Chloroclystis.sp,Chloroclystis,Geometridae,Lepidoptera,Animalia
Chrysodeixis.eriosoma,Chrysodeixis,Noctuidae,Lepidoptera,Animalia
Cleora.scriptaria,Cleora,Geometridae,Lepidoptera,Animalia
Cnephasia.jactatana,Cnephasia,Tortricidae,Lepidoptera,Animalia
Ctenopseustis.sp,Ctenopseustis,Tortricidae,Lepidoptera,Animalia
Deana.hybreasalis,Deana,Crambidae,Lepidoptera,Animalia
Declana.feredayi,Declana,Geometridae,Lepidoptera,Animalia
Declana.floccosa,Declana,Geometridae,Lepidoptera,Animalia
Declana.hermione,Declana,Geometridae,Lepidoptera,Animalia
Declana.junctilinea,Declana,Geometridae,Lepidoptera,Animalia
Declana.leptomera,Declana,Geometridae,Lepidoptera,Animalia
Declana.niveata,Declana,Geometridae,Lepidoptera,Animalia
Dipterina.imbriferana,Dipterina,Tortricidae,Lepidoptera,Animalia
Ecclitica.torogramma,Ecclitica,Tortricidae,Lepidoptera,Animalia
Elvia.glaucata,Elvia,Geometridae,Lepidoptera,Animalia
Epalxiphora.axenana,Epalxiphora,Tortricidae,Lepidoptera,Animalia
Epichorista.emphanes,Epichorista,Tortricidae,Lepidoptera,Animalia
Epichorista.hemiona,Epichorista,Tortricidae,Lepidoptera,Animalia
Epiphyas.postvittana,Epiphyas,Tortricidae,Lepidoptera,Animalia
Erechthias.externella,Erechthias,Tineidae,Lepidoptera,Animalia
Eutorna.phaulocosma,Eutorna,Oecophoridae,Lepidoptera,Animalia
Feredayia.graminosa,Feredayia,Noctuidae,Lepidoptera,Animalia
Gellonia.sp,Gellonia,Geometridae,Lepidoptera,Animalia
Graphania.insignis,Graphania,Noctuidae,Lepidoptera,Animalia
Graphania.mutans,Graphania,Noctuidae,Lepidoptera,Animalia
Graphania.plena,Graphania,Noctuidae,Lepidoptera,Animalia
Graphania.ustistriga,Graphania,Noctuidae,Lepidoptera,Animalia
Grypotheca.pertinax,Grypotheca,Psychidae,Lepidoptera,Animalia
Gymnobathra.sp,Gymnobathra,Oecophoridae,Lepidoptera,Animalia
Harmologa.amplexana,Harmologa,Tortricidae,Lepidoptera,Animalia
Helastia.sp,Helastia,Geometridae,Lepidoptera,Animalia
Heterocrossa.gonosemana,Heterocrossa,Carposinidae,Lepidoptera,Animalia
Heterocrossa.sp.indet.A,Heterocrossa,Carposinidae,Lepidoptera,Animalia
Holocola.emplasta,Holocola,Tortricidae,Lepidoptera,Animalia
Holocola.parthenia,Holocola,Tortricidae,Lepidoptera,Animalia
Holocola.zopherana,Holocola,Tortricidae,Lepidoptera,Animalia
Hydriomena.deltoidata,Hydriomena,Geometridae,Lepidoptera,Animalia
Ischalis.gallaria,Ischalis,Geometridae,Lepidoptera,Animalia
Ischalis.variabilis,Ischalis,Geometridae,Lepidoptera,Animalia
Kessleria.copidota,Kessleria,Yponomeutidae,Lepidoptera,Animalia
Leucotenes.coprosmae,Leucotenes,Tortricidae,Lepidoptera,Animalia
Liothula.omnivora,Liothula,Psychidae,Lepidoptera,Animalia
Meterana.dotata,Meterana,Noctuidae,Lepidoptera,Animalia
Meterana.pascoi,Meterana,Noctuidae,Lepidoptera,Animalia
Meterana.vitiosa,Meterana,Noctuidae,Lepidoptera,Animalia
Musotima.nitidalis,Musotima,Crambidae,Lepidoptera,Animalia
Nyctemera.annulata,Nyctemera,Arctiidae,Lepidoptera,Animalia
Nymphostola.galactina,Nymphostola,Oecophoridae,Lepidoptera,Animalia
Orthenches.sp,Orthenches,Plutellidae,Lepidoptera,Animalia
Paramorpha.marginata,Paramorpha,Carposinidae,Lepidoptera,Animalia
Pasiphila.sandycias,Pasiphila,Geometridae,Lepidoptera,Animalia
Phaeosaces.sp,Phaeosaces,Oecophoridae,Lepidoptera,Animalia
Physetica.prionistis,Physetica,Noctuidae,Lepidoptera,Animalia
Physetica.sequens,Physetica,Noctuidae,Lepidoptera,Animalia
Planotortrix.excessana,Planotortrix,Tortricidae,Lepidoptera,Animalia
Planotortrix.notophaea,Planotortrix,Tortricidae,Lepidoptera,Animalia
Planotortrix.octo,Planotortrix,Tortricidae,Lepidoptera,Animalia
Poecilasthena.sp,Poecilasthena,Geometridae,Lepidoptera,Animalia
Proteodes.profunda,Proteodes,Oecophoridae,Lepidoptera,Animalia
Pseudocoremia.ampla,Pseudocoremia,Geometridae,Lepidoptera,Animalia
Pseudocoremia.fascialata,Pseudocoremia,Geometridae,Lepidoptera,Animalia
Pseudocoremia.fenerata,Pseudocoremia,Geometridae,Lepidoptera,Animalia
Pseudocoremia.fluminea,Pseudocoremia,Geometridae,Lepidoptera,Animalia
Pseudocoremia.leucelaea,Pseudocoremia,Geometridae,Lepidoptera,Animalia
Pseudocoremia.lupinata,Pseudocoremia,Geometridae,Lepidoptera,Animalia
Pseudocoremia.productata,Pseudocoremia,Geometridae,Lepidoptera,Animalia
Pseudocoremia.sp,Pseudocoremia,Geometridae,Lepidoptera,Animalia
Psychidae,,Psychidae,Lepidoptera,Animalia
Pyrgotis.sp,Pyrgotis,Tortricidae,Lepidoptera,Animalia
Rhapsa.scotosialis,Rhapsa,Erebidae,Lepidoptera,Animalia
Sagephora.phortegella,Sagephora,Tineidae,Lepidoptera,Animalia
Sarisa.muriferata,Sarisa,Geometridae,Lepidoptera,Animalia
Sestra.sp,Sestra,Geometridae,Lepidoptera,Animalia
Stathmopoda.sp.chocolate,Stathmopoda,Stathmopodidae,Lepidoptera,Animalia
Strepsicrates.sp,Strepsicrates,Tortricidae,Lepidoptera,Animalia
Tatosoma.lestevata,Tatosoma,Geometridae,Lepidoptera,Animalia
Tatosoma.tipulata,Tatosoma,Geometridae,Lepidoptera,Animalia
Thio,Thiotricha,Gelechiidae,Lepidoptera,Animalia
Thiotricha.lindsayi,Thiotricha,Gelechiidae,Lepidoptera,Animalia
Xyridacma.alectoraria,Xyridacma,Geometridae,Lepidoptera,Animalia
Xyridacma.ustaria,Xyridacma,Geometridae,Lepidoptera,Animalia
