Species,Genus,Family,Order,Kingdom
Aleiodes.declanae,Aleiodes,Braconidae ,Hymenoptera ,Animalia
Aleiodes.sp,Aleiodes,Braconidae ,Hymenoptera ,Animalia
Aucklandella.sp,Aucklandella,Ichneumonidae ,Hymenoptera ,Animalia
Calcager.dubium,Calcager,Tachinidae ,Diptera,Animalia
Calcageria.incidens,Calcageria,Tachinidae ,Diptera,Animalia
Campoletis.sp1,Campoletis,Ichneumonidae ,Hymenoptera ,Animalia
Campoletis.sp4,Campoletis,Ichneumonidae ,Hymenoptera ,Animalia
Campoletis.sp5,Campoletis,Ichneumonidae ,Hymenoptera ,Animalia
Campoletis.sp9,Campoletis,Ichneumonidae ,Hymenoptera ,Animalia
Campoplex.sp1,Campoplex,Ichneumonidae ,Hymenoptera ,Animalia
Campoplex.sp13,Campoplex,Ichneumonidae ,Hymenoptera ,Animalia
Campoplex.sp2,Campoplex,Ichneumonidae ,Hymenoptera ,Animalia
Campoplex.sp3,Campoplex,Ichneumonidae ,Hymenoptera ,Animalia
Campoplex.sp4,Campoplex,Ichneumonidae ,Hymenoptera ,Animalia
Campoplex.sp9,Campoplex,Ichneumonidae ,Hymenoptera ,Animalia
Carria.fortipes,Carria,Ichneumonidae ,Hymenoptera ,Animalia
Carria.no.areolet,Carria,Ichneumonidae ,Hymenoptera ,Animalia
Carria.petiolate.areolet,Carria,Ichneumonidae ,Hymenoptera ,Animalia
Carria.sp2,Carria,Ichneumonidae ,Hymenoptera ,Animalia
Carria.sp3,Carria,Ichneumonidae ,Hymenoptera ,Animalia
Casinaria.sp3,Casinaria,Ichneumonidae ,Hymenoptera ,Animalia
Choeras.sp,Choeras,Braconidae ,Hymenoptera ,Animalia
Cotesia.sp,Cotesia,Braconidae ,Hymenoptera ,Animalia
Diadegma.brown,Diadegma,Ichneumonidae ,Hymenoptera ,Animalia
Diadegma.gold.setae,Diadegma,Ichneumonidae ,Hymenoptera ,Animalia
Diadegma.sp1,Diadegma,Ichneumonidae ,Hymenoptera ,Animalia
Diadegma.sp3,Diadegma,Ichneumonidae ,Hymenoptera ,Animalia
Dolichogenidae.sp2,Dolichogenidea,Braconidae ,Hymenoptera ,Animalia
Dolichogenidea.darklegs.sp4,Dolichogenidea,Braconidae ,Hymenoptera ,Animalia
Dolichogenidea.lightly.punct,Dolichogenidea,Braconidae ,Hymenoptera ,Animalia
Genotrichia.minor,Genotrichia,Tachinidae ,Diptera,Animalia
Genotrichia.sp,Genotrichia,Tachinidae ,Diptera,Animalia
Genus.nov.Hearthead,Genus_nov_Hearthead,Ichneumonidae ,Hymenoptera ,Animalia
Glyptapanteles.dark,Glyptapanteles,Braconidae ,Hymenoptera ,Animalia
Glyptapanteles.sp2,Glyptapanteles,Braconidae ,Hymenoptera ,Animalia
Glyptapanteles.sp3,Glyptapanteles,Braconidae ,Hymenoptera ,Animalia
Glyptapanteles.sp4,Glyptapanteles,Braconidae ,Hymenoptera ,Animalia
Glyptapanteles.sp5,Glyptapanteles,Braconidae ,Hymenoptera ,Animalia
Glyptapanteles.sp6,Glyptapanteles,Braconidae ,Hymenoptera ,Animalia
Glyptapanteles.sp8,Glyptapanteles,Braconidae ,Hymenoptera ,Animalia
Glyptapanteles.sp9,Glyptapanteles,Braconidae ,Hymenoptera ,Animalia
Meteorus.cinctellus,Meteorus,Braconidae ,Hymenoptera ,Animalia
Meteorus.cobbus,Meteorus,Braconidae ,Hymenoptera ,Animalia
Meteorus.pulchricornis,Meteorus,Braconidae ,Hymenoptera ,Animalia
Montanarturia.dimorpha,Montanarturia,Tachinidae ,Diptera,Animalia
Ophion.sp,Ophion,Ichneumonidae ,Hymenoptera ,Animalia
Pales.atrox,Pales,Tachinidae ,Diptera,Animalia
Pales.casta,Pales,Tachinidae ,Diptera,Animalia
Pales.clathrata,Pales,Tachinidae ,Diptera,Animalia
Pales.feredayi,Pales,Tachinidae ,Diptera,Animalia
Pales.funesta,Pales,Tachinidae ,Diptera,Animalia
Pales.marginata,Pales,Tachinidae ,Diptera,Animalia
Phytodietus.sp,Phytodietus,Ichneumonidae ,Hymenoptera ,Animalia
Plagiomyia.longipes,Plagiomyia,Tachinidae ,Diptera,Animalia
Sciron.sp,Sciron,Ichneumonidae ,Hymenoptera ,Animalia
Sympiesis.sp,Sympiesis,Eulophidae ,Hymenoptera ,Animalia
Trigonospila.brevifacies,Trigonospila,Tachinidae ,Diptera,Animalia
Uclesiella.sp,Uclesiella,Tachinidae ,Diptera,Animalia
Zealachertus.sp,Zealachertus,Eulophidae ,Hymenoptera ,Animalia
Zealachertus.tortriciphaga,Zealachertus,Eulophidae ,Hymenoptera ,Animalia
