species,Site4,Site7,Site10,Site12,Site13,Site16,Site17,Site39
Alectryon.excelsus,0,0,0,0,0,0,2442.90519,0
Aristotelia.serrata,6.74288668,232.96673479,0,0,141.0949038,59.00025845,551.23098609,1092.68478654
Asplenium.oblongifolium,0,58.5846625,0,0,0,0,0,11.33066
Asplenium.polyodon,0,0,0,0,0,0,0,28.5513336
Beilschmiedia.tawa,0,0,0,0,0,13557.7033795,0,0
Berberis.sp,0,0,0,0,0,378.0944,0,0
Blechnum.discolor,19752.601343,51366.56286,0,2239.1110502,2146.6322538,27061.501852,0,5321.5608529
Blechnum.minus,0,0,0,0,163.924965,0,0,23.070921
Blechnum.sp,0,0,0,453.347169,0,64.2843,0,0
Brachyglottis.repanda,0,0,0,0,0,111.2705343,0,31.294837786
Carpodetus.serratus,1977.63745731,478.4764653,549.89305482,910.89192235,1629.4469114,481.52761955,136.877717565,2638.08998499
Chamaecytisus.palmensis,0,0,0,0,0,0,0,6912.96648842
Coprosma.aff.intertexta,15.73582375,0,0,0,0,0,0,0
Coprosma.areolata,0,0,0,0,0,69.6990896,0,0
Coprosma.colensoi,0,1.572300608,0,0,0,0,0,0
Coprosma.foetidissima,140.0915749,317.6333728,0,0,0,0,0,26.52724129
Coprosma.grandifolia,821.313366431,19666.0911232,0,4731.018295128,126.1017505,23.40316331,57.81957993,15224.9967217
Coprosma.linariifolia,0,0,2149.70499792,90.06368171,44.05848892,0,0,18.1883214
Coprosma.lucida,0,0,0,177.74657283,408.03800408,0,0,110.3442027
Coprosma.microcarpa,10.47375,0,628.308,1702.195875,582.6448125,0,5.427,0
Coprosma.propinqua,0,0,1405.32879034,0,3196.9068398,0,0,0
Coprosma.rhamnoides,250.57320392,17.74593021,1228.76625514,148.95881886,69.721051445,354.657325,43.32753641,449.59019705
Coprosma.robusta,19.52615796,344.7862127,0,3033.0632035,1373.6915994,0,702.2380414,5142.5919093
Coprosma.robustaxCoprosma.propinqua,0,0,1019.57184,0,5228.137824,0,0,37.525908
Coprosma.rotundifolia,0,0,0,0,0,26.3464817,0,0
Coriaria.arborea,0,0,1008.531319,0,0,0,9029.060692,0
Cortaderia.richardii,0,72.29267135,0,0,0,0,0,0
Cyathea.colensoi,0,0,0,0,0,2588.3799457,0,0
Cyathea.dealbata,33599.1529003,11424.0496429,0,3.17191938,21897.31815,71612.636998,53062.491894,4417.75722474
Cyathea.medullaris,445.95525,0,0,0,0,0,169.0422825,0
Cyathea.smithii,63.81885,0,0,0,0,4159.2285,0,0
Dacrydium.cupressinum,0,130.9837709,0,2350.520386,863.5785186,0,0,160.2471751
Dianella.nigra,0,0,0,0,0,0,0,50.20139831
Dicksonia.sp,1946.07078,3749.302484,0,0,0,67.565288,0,101.437008
Digitalis.purpurea,1.6839485,4.2746385,381.867706,1.813483,1.1658105,1.813483,1.295345,0
Elaeocarpus.dentatus,0,0,0,0,0,142.84998,0,192.82536
Elaeocarpus.hookerianus,0,0,0,21.492351,0,0,0,96.313126
Erica.lusitanica,0,0,0,1.980754308,137.1362977,0,2116.4985698,198.140526
Fuchsia.excorticata,0,0,0,0,3.57936003,0,0,248.84506338
Gaultheria.antipoda,0,0,0,0,0,0,0,74.32684018
Griselinia.sp,0,4610.74072442,153.6824638,330.31057321,2409.5596018,0,0,3865.27405008
Veronica.sp,0,0,1.05737723,0,0,0,0,0.025652347
Hedycaria.arborea,28.6297054,1544.32894897,0,0,0,399.445304472,287.21076794,37.30998841
Helichrysum.lanceolatum,0,0,6674.7013103,0,0,0,0,0.139978986
Histiopteris.incisa,4.517742,0,0,0,0,46.655382,0,0
Kericoides.or.Lscoparium,0,0,12863.7970394,2000.180149,24204.157754,5148.882666,61610.903128,1861.9175544
Leptecophylla.juniperina,0,0,1377.057907,460.0328158,72.90569018,588.0896122,5.150977576,0
Leptopteris.hymenophylloides,0,18.57700438,0,0,0,65.7358941,0,0
