Species,Genus,Family,Order,Kingdom
Alectryon.excelsus,Alectryon,Sapindaceae,Sapindales ,Plantae 
Aristotelia.serrata,Aristotelia,Elaeocarpaceae ,Oxalidales ,Plantae 
Asplenium.bulbiferum,Asplenium,Aspleniaceae ,Polypodiales ,Plantae 
Beilschmiedia.tawa,Beilschmiedia,Lauraceae ,Laurales ,Plantae 
Berberis.sp,Berberis,Berberidaceae ,Ranunculales ,Plantae 
Blechnum.discolor,Blechnum,Blechnaceae ,Polypodiales ,Plantae 
Blechnum.minus,Blechnum,Blechnaceae ,Polypodiales ,Plantae 
Carpodetus.serratus,Carpodetus,Rousseaceae ,Asterales ,Plantae 
Chamaecytisus.palmensis,Chamaecytisus,Fabaceae ,Fabales,Plantae 
Coprosma.foetidissima,Coprosma,Rubiaceae ,Gentianales ,Plantae 
Coprosma.grandifolia,Coprosma,Rubiaceae ,Gentianales ,Plantae 
Coprosma.linariifolia,Coprosma,Rubiaceae ,Gentianales ,Plantae 
Coprosma.lucida,Coprosma,Rubiaceae ,Gentianales ,Plantae 
Coprosma.microcarpa,Coprosma,Rubiaceae ,Gentianales ,Plantae 
Coprosma.propinqua,Coprosma,Rubiaceae ,Gentianales ,Plantae 
Coprosma.rhamnoides,Coprosma,Rubiaceae ,Gentianales ,Plantae 
Coprosma.robusta,Coprosma,Rubiaceae ,Gentianales ,Plantae 
Coprosma.robustaxCoprosma.propinqua,Coprosma,Rubiaceae ,Gentianales ,Plantae 
Coprosma.rotundifolia,Coprosma,Rubiaceae ,Gentianales ,Plantae 
Coprosma.sp,Coprosma,Rubiaceae ,Gentianales ,Plantae 
Coriaria.arborea,Coriaria,Coriariaceae ,Cucurbitales ,Plantae 
Cyathea.dealbata,Cyathea,Cyatheaceae ,Cyatheales ,Plantae 
Cyathea.medullaris,Cyathea,Cyatheaceae ,Cyatheales ,Plantae 
Cyathea.smithii,Cyathea,Cyatheaceae ,Cyatheales ,Plantae 
Leptecophylla.juniperina,Leptecophylla,Ericaceae ,Ericales ,Plantae 
Dacrydium.cupressinum,Dacrydium,Podocarpaceae ,Pinales,Plantae 
Dicksonia.sp,Dicksonia,Dicksoniaceae ,Cyatheales ,Plantae 
Digitalis.purpurea,Digitalis,Plantaginaceae ,Lamiales ,Plantae 
Erica.lusitanica,Erica,Ericaceae ,Ericales ,Plantae 
Fuchsia.excorticata,Fuchsia,Onagraceae ,Myrtales,Plantae 
Gaultheria.antipoda,Gaultheria,Ericaceae ,Ericales ,Plantae 
Griselinia.sp,Griselinia,Griseliniaceae ,Apiales,Plantae 
Hebe.sp,Hebe,Plantaginaceae ,Lamiales ,Plantae 
Hedycaria.arborea,Hedycaria,Monimiaceae ,Laurales ,Plantae 
Hedycarya.corymbosa,Hedycarya,Monimiaceae ,Laurales ,Plantae 
Helichrysum.lanceolatum,Helichrysum,Asteraceae ,Asterales ,Plantae 
Jacobaea.vulgaris,Jacobaea,Asteraceae ,Asterales ,Plantae 
