Species,Genus,Family,Order,Kingdom
Agathidinae_sp_1,Agathidinae,Braconidae ,Hymenoptera,Animalia
Agathidinae_sp_10,Agathidinae,Braconidae ,Hymenoptera,Animalia
Agathidinae_sp_11,Agathidinae,Braconidae ,Hymenoptera,Animalia
Agathidinae_sp_2,Agathidinae,Braconidae ,Hymenoptera,Animalia
Agathidinae_sp_3,Agathidinae,Braconidae ,Hymenoptera,Animalia
Agathidinae_sp_4,Agathidinae,Braconidae ,Hymenoptera,Animalia
Agathidinae_sp_5,Agathidinae,Braconidae ,Hymenoptera,Animalia
Agathidinae_sp_6,Agathidinae,Braconidae ,Hymenoptera,Animalia
Agathidinae_sp_7,Agathidinae,Braconidae ,Hymenoptera,Animalia
Agathidinae_sp_8,Agathidinae,Braconidae ,Hymenoptera,Animalia
Agathidinae_sp_9,Agathidinae,Braconidae ,Hymenoptera,Animalia
Ageseucoela_grenadensis,Ageseucoela,Braconidae ,Hymenoptera,Animalia
Ageseucoela_sp1,Ageseucoela,Braconidae ,Hymenoptera,Animalia
Agrostocynips_clavatus,Agrostocynips,Figitidae ,Hymenoptera,Animalia
Agrostocynips_sp_1,Agrostocynips,Figitidae ,Hymenoptera,Animalia
Aleiodes_sp,Aleiodes,Braconidae ,Hymenoptera,Animalia
Apanteles_sp_2,Apanteles,Braconidae ,Hymenoptera,Animalia
Apanteles_sp_3,Apanteles,Braconidae ,Hymenoptera,Animalia
Aprostocetus_sp1,Aprostocetus,Eulophidae ,Hymenoptera,Animalia
Aprostocetus_sp2,Aprostocetus,Eulophidae ,Hymenoptera,Animalia
Bethylidae_Epyrinae,Epyrinae,Bethylidae,Hymenoptera,Animalia
Brachymeria_sp,Brachymeria,Chalcididae ,Hymenoptera,Animalia
Bracon_sp_1,Bracon,Braconidae ,Hymenoptera,Animalia
Bracon_sp_2,Bracon,Braconidae ,Hymenoptera,Animalia
Bracon_sp_3,Bracon,Braconidae ,Hymenoptera,Animalia
Bracon_sp_4,Bracon,Braconidae ,Hymenoptera,Animalia
Bracon_sp_5,Bracon,Braconidae ,Hymenoptera,Animalia
Bracon_sp_6,Bracon,Braconidae ,Hymenoptera,Animalia
Bracon_sp_7,Bracon,Braconidae ,Hymenoptera,Animalia
Campopleginae_o_Geliinae,,Ichneumonidae ,Hymenoptera,Animalia
Campopleginae_sp_1,Campopleginae,Ichneumonidae ,Hymenoptera,Animalia
Campopleginae_sp_2,Campopleginae,Ichneumonidae ,Hymenoptera,Animalia
Campopleginae_sp_4,Campopleginae,Ichneumonidae ,Hymenoptera,Animalia
Campopleginae_sp_5,Campopleginae,Ichneumonidae ,Hymenoptera,Animalia
Chalcididae_sp,,Chalcididae,Hymenoptera,Animalia
Chelonus_chelonus_sp_1,Chelonus,Braconidae ,Hymenoptera,Animalia
Chelonus_chelonus_sp_2,Chelonus,Braconidae ,Hymenoptera,Animalia
Chelonus_chelonus_sp_3,Chelonus,Braconidae ,Hymenoptera,Animalia
Chelonus_chelonus_sp_4,Chelonus,Braconidae ,Hymenoptera,Animalia
Chelonus_microchelonus_sp_1,Chelonus,Braconidae ,Hymenoptera,Animalia
Chelonus_microchelonus_sp_2,Chelonus,Braconidae ,Hymenoptera,Animalia
Chrysocharis_caribea,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_flacilla,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_sp_1,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_sp_2,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_sp_3,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_sp_4,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_sp_5,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_sp_6,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_sp_7,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_sp_8,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_vonones,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysonotomia_xenodice,Chrysonotomyia,Eulophidae ,Hymenoptera,Animalia
Chrysonotomyia_sp_1,Chrysonotomyia,Eulophidae ,Hymenoptera,Animalia
Chrysonotomyia_sp_2,Chrysonotomyia,Eulophidae ,Hymenoptera,Animalia
Chrysonotomyia_sp_3,Chrysonotomyia,Eulophidae ,Hymenoptera,Animalia
Chrysonotomyia_sp_4,Chrysonotomyia,Eulophidae ,Hymenoptera,Animalia
Chrysonotomyia_sp_5,Chrysonotomyia,Eulophidae ,Hymenoptera,Animalia
Chrysonotomyia_sp_6,Chrysonotomyia,Eulophidae ,Hymenoptera,Animalia
Chrysonotomyia_sp_7,Chrysonotomyia,Eulophidae ,Hymenoptera,Animalia
Cirrospilus_sp_1_ca_submedialis,Cirrospilus,Eulophidae ,Hymenoptera,Animalia
Cirrospilus_sp_2_ca_vittatus,Cirrospilus,Eulophidae ,Hymenoptera,Animalia
Cirrospilus_sp_3,Cirrospilus,Eulophidae ,Hymenoptera,Animalia
Cirrospilus_sp_4_ca_Variegatus,Cirrospilus,Eulophidae ,Hymenoptera,Animalia
Cirrospilus_sp_5,Cirrospilus,Eulophidae ,Hymenoptera,Animalia
Cirrospilus_sp_6,Cirrospilus,Eulophidae ,Hymenoptera,Animalia
Closterocerus_sp_1,Closterocerus,Eulophidae ,Hymenoptera,Animalia
Closterocerus_sp_2,Closterocerus,Eulophidae ,Hymenoptera,Animalia
Closterocerus_sp_3,Closterocerus,Eulophidae ,Hymenoptera,Animalia
Conura_sp_1,Conura,Chalcididae ,Hymenoptera,Animalia
Conura_sp_10,Conura,Chalcididae ,Hymenoptera,Animalia
Conura_sp_11,Conura,Chalcididae ,Hymenoptera,Animalia
Conura_sp_2,Conura,Chalcididae ,Hymenoptera,Animalia
Conura_sp_3,Conura,Chalcididae ,Hymenoptera,Animalia
Conura_sp_4,Conura,Chalcididae ,Hymenoptera,Animalia
Conura_sp_5,Conura,Chalcididae ,Hymenoptera,Animalia
Conura_sp_6,Conura,Chalcididae ,Hymenoptera,Animalia
Conura_sp_8,Conura,Chalcididae ,Hymenoptera,Animalia
