Species,Genus,Family,Order,Kingdom
Aenasius_sp1,Aenasius,Encyrtidae ,Hymenoptera,Animalia
Aenasius_sp2,Aenasius,Encyrtidae ,Hymenoptera,Animalia
Anagyrus_sp,Anagyrus,Encyrtidae ,Hymenoptera,Animalia
Anicetus_sp,Anicetus,Encyrtidae ,Hymenoptera,Animalia
Aphelinidae_sp,,Aphelinidae,Hymenoptera,Animalia
Aphelinus_abdominalis,Aphelinus,Aphelinidae,Hymenoptera,Animalia
Aphelinus_sp2,Aphelinus,Aphelinidae,Hymenoptera,Animalia
Aphelinus_sp3,Aphelinus,Aphelinidae,Hymenoptera,Animalia
Aphidius_collemani,Aphidius,Braconidae ,Hymenoptera,Animalia
Aphidius_ervi,Aphidius,Braconidae ,Hymenoptera,Animalia
Binodoxys_brevicornis,Binodoxys,Braconidae ,Hymenoptera,Animalia
Coccidencyrtus_maculicornis,Coccidencyrtus,Encyrtidae ,Hymenoptera,Animalia
Coccophagus_pallidiceps,Coccophagus,Aphelinidae,Hymenoptera,Animalia
Diaeretiella_rapae,Diaeretiella,Braconidae ,Hymenoptera,Animalia
Encarsia_sp,Encarsia,Aphelinidae,Hymenoptera,Animalia
Encyrtidae_sp1,,Encyrtidae,Hymenoptera,Animalia
Encyrtidae_sp2,,Encyrtidae,Hymenoptera,Animalia
Encyrtidae_sp3,,Encyrtidae,Hymenoptera,Animalia
Eretmocerus_sp,Eretmocerus,Aphelinidae,Hymenoptera,Animalia
Lysiphlebus_testaceipes,Lysiphlebus,Braconidae ,Hymenoptera,Animalia
Metaphycus_sp2,Metaphycus,Encyrtidae ,Hymenoptera,Animalia
Metaphycus_sp3,Metaphycus,Encyrtidae ,Hymenoptera,Animalia
Metaphycus_sp4,Metaphycus,Encyrtidae ,Hymenoptera,Animalia
Pachyneuron_sp3,Pachyneuron,Pteromalidae ,Hymenoptera,Animalia
Prochiloneurus_sp,Prochiloneurus,Encyrtidae ,Hymenoptera,Animalia
Signiphora_sp1,Signiphora,Signiphoridae ,Hymenoptera,Animalia
Spilomicrus_sp,Spilomicrus,Diapriidae ,Hymenoptera,Animalia
