Species,Genus,Family,Order,Kingdom
Acrosathe_annulata,Acrosathe,Therevidae ,Diptera,Animalia
Adia_cinerella,Adia,Anthomyiidae ,Diptera,Animalia
Aedes_detritus,Aedes,Culicidae ,Diptera,Animalia
Aglais_urticae,Aglais,Nymphalidae ,Lepidoptera ,Animalia
Ampedus_sanguinolentus,Ampedus,Elateridae ,Coleoptera ,Animalia
Anapausis_spp.,Anapausis,Scatopsidae ,Diptera,Animalia
Anarta_myrtilli,Anarta,Noctuidae ,Lepidoptera ,Animalia
Anaspis_frontalis,Anaspis,Scraptiidae ,Coleoptera ,Animalia
Andrena_fuscipes,Andrena,Andrenidae ,Hymenoptera ,Animalia
Andrena_ovatula,Andrena,Andrenidae ,Hymenoptera ,Animalia
Anthomyia_liturata,Anthomyia,Anthomyiidae ,Diptera,Animalia
Anthomyiidae_spp.,,Anthomyiidae,Diptera,Animalia
Anthomyza_collini,Anthomyza,Anthomyzidae ,Diptera,Animalia
Anthophora_bimaculata,Anthophora,Apidae ,Hymenoptera ,Animalia
Apis_mellifera,Apis,Apidae ,Hymenoptera ,Animalia
Athalia_rosae,Athalia,Tenthredinidae ,Hymenoptera ,Animalia
Atrichopogon_spp.,Atrichopogon,Ceratopogonidae ,Diptera,Animalia
Autographa_gamma,Autographa,Noctuidae ,Lepidoptera ,Animalia
Bathycranium_spp,Bathycranium,Dolichopodidae ,Diptera,Animalia
Bombus_hortorum,Bombus,Apidae ,Hymenoptera ,Animalia
Bombus_humilis,Bombus,Apidae ,Hymenoptera ,Animalia
Bombus_jonellus,Bombus,Apidae ,Hymenoptera ,Animalia
Bombus_lapidarius,Bombus,Apidae ,Hymenoptera ,Animalia
Bombus_lucorum,Bombus,Apidae ,Hymenoptera ,Animalia
Bombus_pascuorum,Bombus,Apidae ,Hymenoptera ,Animalia
Bombus_pratorum,Bombus,Apidae ,Hymenoptera ,Animalia
Bombus_sylvestris,Bombus,Apidae ,Hymenoptera ,Animalia
Bombus_terrestris,Bombus,Apidae ,Hymenoptera ,Animalia
Botanophila_seneciella,Botanophila,Anthomyiidae ,Diptera,Animalia
Botanophila_spp.,Botanophila,Anthomyiidae ,Diptera,Animalia
Braconidae_spp.,,Braconidae,Hymenoptera ,Animalia
Campiglossa_plantaginis,Campiglossa,Tephritidae ,Diptera,Animalia
Campiglossa_spp.,Campiglossa,Tephritidae ,Diptera,Animalia
Campopleginae,Campopleginae,Ichneumonidae ,Hymenoptera ,Animalia
Campoplex,Campoplex,Ichneumonidae ,Hymenoptera ,Animalia
Camptogramma_bilineata,Camptogramm,Geometridae ,Lepidoptera ,Animalia
Cecidomyiidae_spp.,,Cecidomyiidae,Diptera,Animalia
Ceratopogonidae_spp.,,Ceratopogonidae,Diptera,Animalia
Cerceris_rybyensis,Cerceris,Crabronidae ,Hymenoptera ,Animalia
Cerodontha_denticornis,Cerodontha,Agromyzidae ,Diptera,Animalia
Chalcidoidea_spp.,,Chalcidoidea,Hymenoptera ,Animalia
Chironomidae_spp.,,Chironomidae,Diptera,Animalia
Chlorops_hypostigma,Chlorops,Chloropidae ,Diptera,Animalia
Chromatomyia_horticola,Chromatomyia,Agromyzidae ,Diptera,Animalia
Chromatomyia_spp.,Chromatomyia,Agromyzidae ,Diptera,Animalia
Chrysotoxum_festivum,Chrysotoxum,Syrphidae ,Diptera,Animalia
Coenonympha_pamphilus,Coenonympha,Nymphalidae ,Lepidoptera ,Animalia
Coenosia_femoralis,Coenosia,Muscidae ,Diptera,Animalia
Coenosia_mollicula,Coenosia,Muscidae ,Diptera,Animalia
Coenosia_pedella,Coenosia,Muscidae ,Diptera,Animalia
Coenosia_spp.,Coenosia,Muscidae ,Diptera,Animalia
Coenosia_tigrina,Coenosia,Muscidae ,Diptera,Animalia
Colias_croceus,Colias,Pieridae ,Lepidoptera ,Animalia
Colletes_succinctus,Colletes,Colletidae ,Hymenoptera ,Animalia
Conocephalus_discolor,Conocephalus,Tettigoniidae ,Orthoptera ,Animalia
Conocephalus_dorsalis,Conocephalus,Tettigoniidae ,Orthoptera ,Animalia
Crossocerus_wesmaeli,Crossocerus,Crabronidae ,Hymenoptera ,Animalia
Cryptinae,Cryptinae,Ichneumonidae ,Hymenoptera ,Animalia
Dasyhelea_spp.,Dasyhelea,Ceratopogonidae ,Diptera,Animalia
Dasypoda_altercator,Dasypoda,Melittidae ,Hymenoptera ,Animalia
Delia_florilega,Delia,Anthomyiidae ,Diptera,Animalia
Delia_platura,Delia,Anthomyiidae ,Diptera,Animalia
Delia_spp.,Delia,Anthomyiidae ,Diptera,Animalia
Dilophus_bispinosus,Dilophus,Bibionidae ,Diptera,Animalia
Dilophus_febrilis,Dilophus,Bibionidae ,Diptera,Animalia
Discocerina_obscurella,Discocerina,Ephydridae ,Diptera,Animalia
Ditaeniella_grisescens,Ditaeniella,Sciomyzidae ,Diptera,Animalia
Dolichopus_diadema,Dolichopus,Dolichopodidae ,Diptera,Animalia
Dolichopus_nubilus,Dolichopus,Dolichopodidae ,Diptera,Animalia
Dolichopus_ungulatus,Dolichopus,Dolichopodidae ,Diptera,Animalia
Empis_aestiva,Empis,Empididae ,Diptera,Animalia
Empis_praevia,Empis,Empididae ,Diptera,Animalia
Enallagma_cyathigerum,Enallagma,Coenagrionidae ,Odonata,Animalia
Endromopoda_detrita,Endromopoda,Ichneumonidae ,Hymenoptera ,Animalia
Episyrphus_balteatus,Episyrphus,Syrphidae ,Diptera,Animalia
Eristalinus_sepulchralis,Eristalinus,Syrphidae ,Diptera,Animalia
Eristalis_arbustorum,Eristalis,Syrphidae ,Diptera,Animalia
Eristalis_pertinax,Eristalis,Syrphidae ,Diptera,Animalia
Eristalis_tenax,Eristalis,Syrphidae ,Diptera,Animalia
Eumenes_coarctatus,Eumenes,Vespidae ,Hymenoptera ,Animalia
Eupeodes_corollae,Eupeodes,Syrphidae ,Diptera,Animalia
Eupeodes_latifasciatus,Eupeodes,Syrphidae ,Diptera,Animalia
Fannia_subsimilis,Fannia,Fanniidae ,Diptera,Animalia
Formica_fusca,Formica,Formicidae ,Hymenoptera ,Animalia
Glyphipterix_spp.,Glyphipterix,Glyphipterigidae ,Lepidoptera ,Animalia
Hecamede_albicans,Hecamede,Ephydridae ,Diptera,Animalia
Helina_reversio,Helina,Muscidae ,Diptera,Animalia
