Species,Genus,Family,Order,Kingdom
Achrysocharoides_spp.,Achrysocharoides,Eulophidae ,Hymenoptera,Animalia
Apanteles_maritimus,Apanteles,Braconidae ,Hymenoptera,Animalia
Apodesmia_similis,Apodesmia,Braconidae ,Hymenoptera,Animalia
Chrysocharis_gemma,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_prodice,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_spp._1,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Chrysocharis_spp._2,Chrysocharis,Eulophidae ,Hymenoptera,Animalia
Crytogaster_vulgaris,Crytogaster,Pteromalidae ,Hymenoptera,Animalia
Epiclerus_panyas,Epiclerus,Tetracampidae ,Hymenoptera,Animalia
Hemipterans_fulvicollis,,,Hemiptera,Animalia
Merismus_megapterus,Merismus,Pteromalidae ,Hymenoptera,Animalia
Opius_spp.,Opius,Braconidae ,Hymenoptera,Animalia
Pediobius_metallicus,Pediobius,Eulophidae ,Hymenoptera,Animalia
Phaedrotoma_variegata,Phaedrotoma,Braconidae ,Hymenoptera,Animalia
Pnigalio_spp.,Pnigalio,Eulophidae ,Hymenoptera,Animalia
Pteromalus_spp.,Pteromalus,Pteromalidae ,Hymenoptera,Animalia
unknown_1,,,,Animalia
