Species,Genus,Family,Order,Kingdom
Apis_mellifera,Apis,Apidae ,Hymenoptera,Animalia
Argyrophenga_antipodum,Argyrophenga,Nymphalidae ,Lepidoptera ,Animalia
Australimyza_sp.,Australimyza,Australimyzidae ,Diptera,Animalia
Bombus_terrestris,Bombus,Apidae ,Hymenoptera,Animalia
Calliphora_hilli,Calliphora,Calliphoridae ,Diptera,Animalia
Calliphora_quadrimaculata,Calliphora,Calliphoridae ,Diptera,Animalia
Cerodontha_denticornis,Cerodontha,Agromyzidae ,Diptera,Animalia
Coenosiinae_sp._1,Coenosiinae,Muscidae ,Diptera,Animalia
Coenosiinae_sp._2,Coenosiinae,Muscidae ,Diptera,Animalia
Dasytinae_sp._1,Dasytinae,Dasytidae ,Coleoptera ,Animalia
Dasytinae_sp._2,Dasytinae,Dasytidae ,Coleoptera ,Animalia
Diaphorus_sp.,Diaphorus,Dolichopodidae ,Diptera,Animalia
Dilophus_sp.1,Dilophus,Bibionidae ,Diptera,Animalia
Dilophus_sp.2,Dilophus,Bibionidae ,Diptera,Animalia
Dolichopodid_sp.,Dolichopodid,Dolichopodidae ,Diptera,Animalia
Empididae_sp.,,Empididae,Diptera,Animalia
Endromopoda_sp.,Endromopoda,Ichneumonidae ,Hymenoptera,Animalia
Eutiminae_sp.,Eutiminae,Curculionidae,Coleoptera ,Animalia
Formicidae_sp,,Formicidae,Hymenoptera,Animalia
Hilara_sp.,Hilara,Empididae ,Diptera,Animalia
Hilarini_sp.,Hilarini,Empididae ,Diptera,Animalia
Hydrophorinae_sp.,Hydrophorinae,Dolichopodidae ,Diptera,Animalia
Hylaeus_sp.,Hylaeus,Colletidae ,Hymenoptera,Animalia
Lassioglossum_sp.,Lassioglossum,Halictidae ,Hymenoptera,Animalia
Limnohelina_sp._1,Limnohelina,Muscidae ,Diptera,Animalia
Limnohelina_sp._2,Limnohelina,Muscidae ,Diptera,Animalia
Limnohelina_sp._3,Limnohelina,Muscidae ,Diptera,Animalia
Limoniidae_sp.,,Limoniidae,Diptera,Animalia
Lonchoptera_furcata,Lonchoptera,Lonchopteridae ,Diptera,Animalia
Megaselia_sp.,Megaselia,Phoridae ,Diptera,Animalia
NZPD14,,,,Animalia
NZPD15,,,,Animalia
NZPD21,,,,Animalia
NZPD3,,,,Animalia
Occisorini_sp.,Occisorini,Tachinidae  ,Diptera,Animalia
Phaoniini_sp.,Phaoniini,Muscidae ,Diptera,Animalia
Poecilohetaerella_bilineata,Poecilohetaerella,Lauxaniidae ,Diptera,Animalia
Pollenia_atricoma,Pollenia,Polleniidae ,Diptera,Animalia
Psilopa_metallica,Psilopa,Ephydridae ,Diptera,Animalia
Psyllidae_sp.,,Psyllidae,Hemiptera ,Animalia
Pteromalus_sp.,Pteromalus,Pteromalidae ,Hymenoptera,Animalia
Rophalum_sp.,Rophalum,Crabronidae,Hymenoptera,Animalia
Scatella_nitidifrons,Scatella,Ephydridae ,Diptera,Animalia
Sphaerophoria_sp.,Sphaerophoria,Syrphidae ,Diptera,Animalia
Spilogona_sp._1,Spilogona,Muscidae ,Diptera,Animalia
Spilogona_sp._2,Spilogona,Muscidae ,Diptera,Animalia
Spilomicrus_sp.,Spilomicrus,Diapriidae ,Hymenoptera,Animalia
Syrphinae_sp._1,Syrphinae,Syrphidae ,Diptera,Animalia
Tachinidae_sp.,,Tachinidae,Diptera,Animalia
Tachysphex_sp.,Tachysphex,Crabronidae ,Hymenoptera,Animalia
Tephritis_fascigera,Tephritis,Tephritidae ,Diptera,Animalia
Therevinae_sp.,Therevinae,Therevidae,Diptera,Animalia
Trichopria_sp.,Trichopria,Diapriidae ,Hymenoptera,Animalia
